plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell
ktnP1,1,3759,3568,0.30767222659173077,0.12545762220653237,0.00010637575976300348,0.043207817436179186,0.06634420339738993,0.0025671896346197787,0.05823288523547097,0.07121617960949878,0.05814356163037738,0.043207817436179186,1854.1239493652388,52.0,270.38480829435287,0.20553359683794464,4.521739130434782,0.09927786154698927,0.026912610853822037,0.21256170729169271,0.22916767428271712,9.999709708465296e-05,0.0013146792771226183,0.05766109262747163,0.0018044037039276202,0.04556622697743499,0.03893567327056032,0.022823760098749805,0.0013146792771226183,1795.3347549331106,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.09683370862717793,0.035363902478271904
ktnP1,1,3759,3631,0.27353100970625266,0.19705049179201414,0.00010440366388005017,0.027372799874418697,0.037821648955662965,0.0022727677971649584,0.04920583031876958,0.04936802038499228,0.03183606831303855,0.027372799874418697,1820.7994306300905,42.0,212.45570384889794,0.2456140350877193,4.421052631578948,0.09406394189384883,0.03340957614540353,0.21256170729169271,0.22916767428271712,9.999709708465296e-05,0.0013146792771226183,0.05766109262747163,0.0018044037039276202,0.04556622697743499,0.03893567327056032,0.022823760098749805,0.0013146792771226183,1795.3347549331106,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.09683370862717793,0.035363902478271904
ktnP1,1,3759,3776,0.30046676737835304,0.16499921832827252,0.00010708110433338925,0.035123520985813235,0.16504619785170377,0.0023575861586841358,0.05385453965904506,0.05875753280312548,0.04682681754771249,0.035123520985813235,1842.1123292422963,47.0,240.54574945676495,0.22380952380952382,4.476190476190476,0.10648384337607975,0.03081298525991211,0.21256170729169271,0.22916767428271712,9.999709708465296e-05,0.0013146792771226183,0.05766109262747163,0.0018044037039276202,0.04556622697743499,0.03893567327056032,0.022823760098749805,0.0013146792771226183,1795.3347549331106,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.09683370862717793,0.035363902478271904
ktnP1,1,3759,3848,0.3178890158248491,0.21412773056226364,0.0001088999926942374,0.003267076114043522,0.05088003270270441,0.002600616589337789,0.049462029663164916,0.0629691083949542,0.04151126004792902,0.003267076114043522,1864.2400456037428,42.0,210.4620955077952,0.2456140350877193,4.421052631578948,0.0929235327008268,0.035155707757721893,0.21256170729169271,0.22916767428271712,9.999709708465296e-05,0.0013146792771226183,0.05766109262747163,0.0018044037039276202,0.04556622697743499,0.03893567327056032,0.022823760098749805,0.0013146792771226183,1795.3347549331106,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.09683370862717793,0.035363902478271904
ktnP1,1,3759,3858,0.2774876130627535,0.19264671823035667,0.00010724324278276059,0.03346545533033769,0.09238374941729154,0.0022497585377868824,0.04965528569002611,0.0562301028219458,0.04206634909397802,0.03346545533033769,1902.1089267026446,44.0,219.93953893083727,0.23157894736842108,4.4,0.1040706969042469,0.032902471798956404,0.21256170729169271,0.22916767428271712,9.999709708465296e-05,0.0013146792771226183,0.05766109262747163,0.0018044037039276202,0.04556622697743499,0.03893567327056032,0.022823760098749805,0.0013146792771226183,1795.3347549331106,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,0.09683370862717793,0.035363902478271904
ktnP1,1,4070,3613,0.2290255380992129,0.1631028975388206,9.545102727467764e-05,0.021162411945921552,0.049557231983063735,0.002138271824604872,0.048195381607906936,0.05126196669177372,0.022706214404465044,0.021162411945921552,1810.2219959169306,41.0,206.575203314916,0.23976608187134504,4.315789473684211,0.08654711999221609,0.03071455433336848,0.34094252580893825,0.14079946283228498,0.00010851733367901635,0.07195416282400957,0.1805847691045062,0.0027107663792502357,0.05848829058897459,0.07854139438102915,0.07872339347033921,0.07195416282400957,1881.7918366848362,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.11262807045740886,0.026794845662454603
ktnP1,1,4070,3630,0.25502559673967806,0.13503721537955682,0.0001047236963600099,0.12953515295410395,0.062399221729858186,0.002199829416459499,0.05539940746877006,0.07052180762562686,0.08608096575437355,0.12953515295410395,1967.3361814973562,56.0,293.03176387694896,0.18666666666666668,4.48,0.09948085405130346,0.02213314537748311,0.34094252580893825,0.14079946283228498,0.00010851733367901635,0.07195416282400957,0.1805847691045062,0.0027107663792502357,0.05848829058897459,0.07854139438102915,0.07872339347033921,0.07195416282400957,1881.7918366848362,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.11262807045740886,0.026794845662454603
ktnP1,1,4070,3663,0.26768096849370254,0.18676365996646258,0.00010759539958066332,0.011263073209975865,0.11436431012246756,0.002168040591576708,0.051176588939460844,0.064762190806231,0.05827585669510302,0.011263073209975865,1878.0100330824441,50.0,252.30345329624777,0.1976284584980237,4.3478260869565215,0.10774110900037295,0.028683186998242828,0.34094252580893825,0.14079946283228498,0.00010851733367901635,0.07195416282400957,0.1805847691045062,0.0027107663792502357,0.05848829058897459,0.07854139438102915,0.07872339347033921,0.07195416282400957,1881.7918366848362,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.11262807045740886,0.026794845662454603
ktnP1,1,4070,3894,0.38128328473703726,0.2001886275448403,0.00011180149946885132,0.03242548515589742,0.2522607395252473,0.0028261708751509346,0.05384837749786817,0.06948614955677443,0.05544385119313673,0.03242548515589742,1798.3868924276658,47.0,240.70497500753842,0.22380952380952382,4.476190476190476,0.10989500860104484,0.03356690406276306,0.34094252580893825,0.14079946283228498,0.00010851733367901635,0.07195416282400957,0.1805847691045062,0.0027107663792502357,0.05848829058897459,0.07854139438102915,0.07872339347033921,0.07195416282400957,1881.7918366848362,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.11262807045740886,0.026794845662454603
ktnP1,1,4070,3970,0.2480003964162816,0.24924988894270705,9.481438802108232e-05,0.00027470910268233815,0.07926933551641913,0.002225626438748337,0.043051530128109416,0.04106666130331175,0.010801749227147111,0.00027470910268233815,1610.8810048145963,36.0,170.0297359573712,0.2647058823529412,4.235294117647059,0.08866000017195977,0.035116005492493475,0.34094252580893825,0.14079946283228498,0.00010851733367901635,0.07195416282400957,0.1805847691045062,0.0027107663792502357,0.05848829058897459,0.07854139438102915,0.07872339347033921,0.07195416282400957,1881.7918366848362,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,0.11262807045740886,0.026794845662454603
