,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,37.87,50.34,28.92,34.36,41.27,46.09,37.39,53.63,47.26,0.6155,22.59,48.35,11.66,7.75,33.26,33.89,33.29,30.77,37.61,0.55
split 1,33.21,50.85,23.92,24.85,39.32,46.97,36.09,56.89,47.94,0.6083,23.35,48.27,15.51,6.26,33.78,35.29,33.2,43.6,29.08,0.5573
split 2,36.59,50.69,29.16,29.93,40.82,47.03,36.88,56.28,47.93,0.6116,31.16,47.97,16.1,29.43,35.7,34.93,36.07,32.63,36.09,0.5634
split 3,30.72,50.81,9.08,32.26,38.74,51.72,35.86,70.93,48.37,0.6079,26.86,46.99,13.04,20.55,34.56,46.0,32.92,69.34,35.75,0.5348
split 4,30.0,51.26,17.2,21.54,38.16,46.35,35.76,54.77,48.51,0.6079,26.91,46.28,17.8,16.66,34.04,40.52,32.48,55.8,33.28,0.5238
split 5,32.45,50.66,20.44,26.25,38.79,45.59,35.98,53.83,46.95,0.6148,30.01,45.53,25.79,18.72,34.01,33.85,34.02,37.92,29.62,0.472
mean,33.47,50.77,21.45,28.2,39.52,47.29,36.33,57.72,47.83,0.611,26.81,47.23,16.65,16.56,34.23,37.41,33.66,45.01,33.57,0.5335
std,2.88,0.27,7.0,4.41,1.14,2.04,0.6,6.02,0.56,0.0032,3.14,1.06,4.55,7.85,0.76,4.46,1.17,13.64,3.25,0.0306
test mean,29.571256459244825,51.258548987042246,18.165545361756454,19.289675028935783,38.57088557374666,39.82862931510044,37.55043521413733,42.13161788227957,39.80383484888442,0.6006282931686164,24.92521547419016,45.310073541872534,13.009318079230727,16.456254801467225,33.233829864389115,30.06910193112958,33.24473354231655,33.952282133790774,23.01029011728141,0.525235946641785
test std,8.039409276428033,3.1159282659071943,19.814802936884597,13.997449966668112,4.7043478457789325,16.179413656674708,4.831433959007848,33.55406643347879,30.347273979807817,0.048908336718214235,4.861843258073982,7.055875888688721,14.504713555597512,11.779145403251524,3.2549111193508797,13.195141404604,3.152726861174468,29.68008381567697,15.357533838501656,0.027321765196453206
