,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,22.94,49.82,0.0,18.99,35.13,27.53,33.95,0.0,48.65,0.5784,17.13,50.08,0.0,1.31,33.55,44.47,33.41,0.0,100.0,0.5293
split 1,22.06,50.29,0.0,15.91,35.14,28.63,34.06,0.0,51.81,0.5803,20.49,49.11,0.0,12.37,34.09,30.99,33.06,0.0,59.91,0.5096
split 2,24.77,50.2,0.42,23.7,35.94,60.24,34.56,100.0,46.15,0.584,17.55,50.13,0.0,2.53,33.58,24.7,33.51,0.0,40.59,0.5361
split 3,18.48,50.02,1.51,3.91,33.85,48.34,33.5,59.26,52.26,0.5786,18.63,49.56,0.0,6.33,33.39,22.94,33.32,0.0,35.49,0.5655
split 4,17.95,50.12,0.74,3.0,33.82,57.78,33.49,68.45,71.4,0.5817,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5226
split 5,24.66,49.78,0.0,24.2,35.67,26.56,34.33,0.0,45.34,0.5783,21.98,47.97,0.0,17.97,33.02,21.71,33.18,0.0,31.97,0.5644
mean,21.81,50.04,0.44,14.95,34.93,41.51,33.98,37.95,52.6,0.5802,18.74,49.47,0.0,6.75,33.49,25.99,33.3,0.0,44.66,0.5379
std,2.71,0.19,0.55,8.6,0.82,14.42,0.4,39.91,8.8,0.0021,1.91,0.76,0.0,6.46,0.33,10.14,0.15,0.0,30.42,0.0207
test mean,20.213689040084798,49.120421246036415,0.0,11.520645874217976,34.41172451301342,19.377532295936394,33.95906858848129,0.0,24.173528299327902,0.5652894060917488,20.15048603900551,50.18511612622177,2.2455089820359286,8.020833008758839,34.26474171539961,17.756532598729326,34.719761970662354,7.6530612244897975,10.896774601035833,0.5141331953615992
test std,6.048982301109924,3.9155854818242695,0.0,18.929575959567813,4.107688413905784,10.825471821336619,2.2755149864577175,0.0,31.810088468071033,0.07395795627126285,6.7237553584777645,1.7835598805981228,5.941058333228871,13.949265886034729,2.7735718447848843,12.274545334176185,3.7058479333044154,20.248096768351466,19.978981122691632,0.02866311073987053
