plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell
ktnP1,1,3759,3568,8.0,0.2857142857142857,0.002708702655232567,0.050144728392121335,0.055661545700755564,0.002913840541800498,0.05823288523547097,0.07191144714357407,0.05814356163037738,0.04554521594142654,68.89303082538414,52.0,270.38480829435287,0.20553359683794464,4.521739130434782,2.450592885375494,0.6307513998718037,5.0,0.5,0.0025009390980720953,0.011219249963021146,0.04864371952618693,0.0018962268983080286,0.04556622697743499,0.03772444603946606,0.022823760098749805,0.010754085331697099,68.41787003845874,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,2.2748538011695905,0.7825904383236706
ktnP1,1,3759,3631,6.0,0.4,0.002595737880229568,0.020232422713248866,0.05316523828045677,0.0022376565126701635,0.04920583031876958,0.047854190076786735,0.03183606831303855,0.01748593487324515,68.8321238402125,42.0,212.45570384889794,0.2456140350877193,4.421052631578948,2.2865497076023393,0.7508736474869626,5.0,0.5,0.0025009390980720953,0.011219249963021146,0.04864371952618693,0.0018962268983080286,0.04556622697743499,0.03772444603946606,0.022823760098749805,0.010754085331697099,68.41787003845874,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,2.2748538011695905,0.7825904383236706
ktnP1,1,3759,3776,7.0,0.3333333333333333,0.0026766128261358165,0.04070687054868493,0.05690715895953771,0.002563678859845777,0.05385453965904506,0.05825790658492161,0.04682681754771249,0.04208197809384069,69.89341116399982,47.0,240.54574945676495,0.22380952380952382,4.476190476190476,2.380952380952381,0.6823222859381913,5.0,0.5,0.0025009390980720953,0.011219249963021146,0.04864371952618693,0.0018962268983080286,0.04556622697743499,0.03772444603946606,0.022823760098749805,0.010754085331697099,68.41787003845874,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,2.2748538011695905,0.7825904383236706
ktnP1,1,3759,3848,6.0,0.4,0.002664887005711225,0.027964902515170347,0.06566299308642165,0.0022175664088373366,0.049462029663164916,0.051539499302291264,0.04151126004792902,0.02870921792564107,72.0073745698748,42.0,210.4620955077952,0.2456140350877193,4.421052631578948,2.280701754385965,0.8286419778593761,5.0,0.5,0.0025009390980720953,0.011219249963021146,0.04864371952618693,0.0018962268983080286,0.04556622697743499,0.03772444603946606,0.022823760098749805,0.010754085331697099,68.41787003845874,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,2.2748538011695905,0.7825904383236706
ktnP1,1,3759,3858,6.0,0.4,0.002656755967875623,0.03983332635236668,0.06248892074883066,0.0022160063682150084,0.04965528569002611,0.04979528734146785,0.04206634909397802,0.04332569380174651,71.47009795759817,44.0,219.93953893083727,0.23157894736842108,4.4,2.3526315789473684,0.7124311178296121,5.0,0.5,0.0025009390980720953,0.011219249963021146,0.04864371952618693,0.0018962268983080286,0.04556622697743499,0.03772444603946606,0.022823760098749805,0.010754085331697099,68.41787003845874,41.0,204.19517844073863,0.23976608187134504,4.315789473684211,2.2748538011695905,0.7825904383236706
ktnP1,1,4070,3613,6.0,0.4,0.002455055531759089,0.012764720612496061,0.030462729310587265,0.0023394819697437346,0.048195381607906936,0.04988503230761277,0.022706214404465044,0.013001024997055365,65.29359039653212,41.0,206.575203314916,0.23976608187134504,4.315789473684211,2.2514619883040936,0.7955434671094124,8.0,0.2857142857142857,0.0027298179714944307,0.07246429414589585,0.05180355084071524,0.0029341602262333275,0.05848829058897459,0.08008306924638027,0.07872339347033921,0.0705343204007196,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476423
ktnP1,1,4070,3630,7.0,0.3333333333333333,0.002700830928960558,0.09553230922361323,0.04771427383655296,0.0025772817414880735,0.05539940746877006,0.073599694863826,0.08608096575437355,0.09849413730524023,71.3135281385285,56.0,293.03176387694896,0.18666666666666668,4.48,2.5366666666666666,0.5475587836887298,8.0,0.2857142857142857,0.0027298179714944307,0.07246429414589585,0.05180355084071524,0.0029341602262333275,0.05848829058897459,0.08008306924638027,0.07872339347033921,0.0705343204007196,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476423
ktnP1,1,4070,3663,6.0,0.4,0.002676238344339604,0.06222613714690289,0.053620446209699406,0.002210768181245442,0.051176588939460844,0.05852166929825902,0.05827585669510302,0.06568222146568635,71.83108280608309,50.0,252.30345329624777,0.1976284584980237,4.3478260869565215,2.474308300395257,0.6420164837613141,8.0,0.2857142857142857,0.0027298179714944307,0.07246429414589585,0.05180355084071524,0.0029341602262333275,0.05848829058897459,0.08008306924638027,0.07872339347033921,0.0705343204007196,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476423
ktnP1,1,4070,3894,7.0,0.3333333333333333,0.0027138566169913536,0.05312426694467693,0.05824077271689585,0.002560778709248656,0.05384837749786817,0.060834347508287805,0.05544385119313673,0.05472329132149629,70.95128066378099,47.0,240.70497500753842,0.22380952380952382,4.476190476190476,2.3666666666666667,0.6836175865545954,8.0,0.2857142857142857,0.0027298179714944307,0.07246429414589585,0.05180355084071524,0.0029341602262333275,0.05848829058897459,0.08008306924638027,0.07872339347033921,0.0705343204007196,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476423
ktnP1,1,4070,3970,5.0,0.5,0.0023063567928276393,0.004102856386620157,0.0232811586124949,0.0020166175187596625,0.043051530128109416,0.0339358670546046,0.010801749227147111,0.003966317655408725,61.907334005864,36.0,170.0297359573712,0.2647058823529412,4.235294117647059,2.1838235294117645,0.8706865486420977,8.0,0.2857142857142857,0.0027298179714944307,0.07246429414589585,0.05180355084071524,0.0029341602262333275,0.05848829058897459,0.08008306924638027,0.07872339347033921,0.0705343204007196,70.76285103785142,53.0,270.3794469029228,0.1920289855072464,4.416666666666667,2.510869565217391,0.5855865465476423
