,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5429999999999999,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5473
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5479999999999999,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.512
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5497,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5232
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5435,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5294
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5483,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5158
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5405,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5769
mean,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5455,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5341
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222
test mean,16.666666666666664,50.0,0.0,0.0,33.33333333333333,11.111111111111112,33.33333333333333,0.0,0.0,0.546501021456737,16.666666666666668,50.00000000000001,0.0,0.0,33.33333333333333,11.111111111111114,33.333333333333336,0.0,0.0,0.544049471330184
test std,1.6219258688167645e-14,4.7720371314544516e-14,0.0,0.0,4.610610094765734e-15,1.483970180096949e-14,4.343527521875011e-14,0.0,0.0,0.045307858055603854,8.79251776862914e-15,2.3566036520288945e-14,0.0,0.0,5.617333549722722e-15,7.666168367507028e-15,2.3296701543181088e-14,0.0,0.0,0.03294332604621438
