,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6077,0.0,50.0,0.0,0.4251
split 1,0.0,50.0,0.0,0.5807,0.0,50.0,0.0,0.4876
split 2,0.0,50.0,0.0,0.5876,0.0,50.0,0.0,0.4621
split 3,0.0,50.0,0.0,0.5778,0.0,50.0,0.0,0.5184
split 4,0.0,50.0,0.0,0.5863,0.0,50.0,0.0,0.5439
split 5,0.0,50.0,0.0,0.5826,0.0,50.0,0.0,0.4917
mean,0.0,50.0,0.0,0.5871,0.0,50.0,0.0,0.4881
std,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0381
test mean,0.0,50.0,0.0,0.5684050927898113,0.0,50.0,0.0,0.5292304809680473
test std,0.0,1.2835395288270501e-14,0.0,0.04564147700358149,0.0,1.2560739669470201e-14,0.0,0.07483834634086302
