,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,24.98,47.46,26.24,1.25,34.01,39.05,33.65,35.15,48.35,0.5373,19.85,48.53,11.03,0.0,32.8,21.1,33.0,30.31,0.0,0.5196
split 1,20.43,11.73,49.56,0.0,33.54,21.68,31.31,33.73,0.0,0.4723,22.74,20.14,48.07,0.0,33.46,22.5,34.15,33.35,0.0,0.4704
split 2,38.24,41.11,44.31,29.31,39.08,38.86,38.51,40.3,37.77,0.5655,29.66,32.26,39.97,16.75,31.77,30.81,31.0,33.4,28.02,0.4671
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5438,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5265
split 4,37.56,41.55,46.31,24.82,39.16,38.47,40.05,39.89,35.48,0.5661,30.57,32.28,35.93,23.49,31.48,32.18,29.62,31.78,35.13,0.4737
mean,27.58,38.37,33.29,11.08,35.82,29.83,35.37,29.81,24.32,0.537,23.9,36.64,27.0,8.05,32.57,23.54,32.22,25.77,12.63,0.4915
std,8.84,13.75,18.51,13.14,2.7,11.47,3.33,15.13,20.33,0.0343,5.43,11.23,18.31,10.08,0.81,7.6,1.66,12.93,15.63,0.026
