,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5653,0.0,50.0,0.0,0.5618
split 1,0.0,50.0,0.0,0.5751,0.0,50.0,0.0,0.5502
split 2,0.0,50.0,0.0,0.5614,0.0,50.0,0.0,0.5705
split 3,0.0,50.0,0.0,0.579,0.0,50.0,0.0,0.4786
split 4,0.0,50.0,0.0,0.5665,0.0,50.0,0.0,0.4509
split 5,0.0,50.0,0.0,0.5929,0.0,50.0,0.0,0.4488
mean,0.0,50.0,0.0,0.5734,0.0,50.0,0.0,0.5101
std,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0519
test mean,0.0,50.0,0.0,0.561348806331431,0.0,50.00000000000001,0.0,0.48115728312177036
test std,0.0,1.5028750209624192e-14,0.0,0.05824503076654751,0.0,1.7763568394002505e-14,0.0,0.12331333122975356
