,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4839,0.0,50.0,0.0,0.5542
split 1,0.0,50.0,0.0,0.4948,0.0,50.0,0.0,0.4945
split 2,0.0,50.0,0.0,0.5204,0.0,50.0,0.0,0.4164
split 3,0.0,50.0,0.0,0.5054,0.0,50.0,0.0,0.5145
split 4,0.0,50.0,0.0,0.4923,0.0,50.0,0.0,0.5456
split 5,0.0,50.0,0.0,0.5179,0.0,50.0,0.0,0.4764
mean,0.0,50.0,0.0,0.5024,0.0,50.0,0.0,0.5003
std,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0462
test mean,0.0,50.0,0.0,0.493349469134239,0.0,50.00000000000001,0.0,0.4881942196040869
test std,0.0,1.6219258688167645e-14,0.0,0.050855613945275414,0.0,1.6085595323533783e-14,0.0,0.09915590715979979
