,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,21.01,50.53,2.0,10.5,34.62,40.14,34.18,44.52,41.73,0.581,20.19,48.66,3.69,8.22,33.17,35.14,32.96,35.7,36.77,0.5106
split 1,27.41,50.5,1.01,30.74,36.8,42.73,35.96,52.53,39.69,0.573,18.89,48.71,0.0,7.97,31.55,17.28,33.46,0.0,18.4,0.5421
split 2,27.72,51.41,0.0,31.75,37.41,25.55,36.69,0.0,39.96,0.5718,25.51,49.47,0.0,27.06,35.17,23.49,35.13,0.0,35.35,0.5387
split 3,29.84,50.65,5.76,33.1,37.94,44.83,36.35,56.07,42.06,0.5769,24.64,46.46,0.0,27.47,33.02,21.79,33.69,0.0,31.69,0.5396
split 4,27.34,50.55,3.48,27.98,36.69,45.73,35.67,61.54,39.99,0.5801,21.48,48.95,0.0,15.48,33.8,24.59,33.37,0.0,40.42,0.5192
split 5,29.36,50.69,3.49,33.9,37.78,48.8,36.63,69.58,40.2,0.5779,27.57,49.37,4.43,28.91,35.21,33.49,36.25,31.48,32.75,0.5365
mean,27.11,50.72,2.62,27.99,36.87,41.3,35.91,47.37,40.61,0.5768,23.05,48.6,1.35,19.18,33.65,25.97,34.14,11.2,32.56,0.5311
std,2.89,0.32,1.88,8.05,1.11,7.53,0.85,22.54,0.93,0.0034,3.08,1.01,1.93,8.99,1.28,6.35,1.16,15.88,6.94,0.0118
test mean,23.312319538259278,49.839391646540065,0.2721088435374147,19.825458124700347,35.10225611831799,24.113385122506198,35.0758850605915,4.761904761904762,32.502365545022336,0.5647944615420786,23.01974378753623,46.66663876057524,1.0111422316934757,21.381450370339973,32.93726131600525,24.961380838899704,34.02701630670548,16.446569520340013,24.410556689653617,0.5347594825294777
test std,5.079779865656666,2.5428226579555857,1.2169077428570274,14.255945468180398,3.1285296948681105,10.722524148337575,2.5362073193652086,21.295885499998004,19.58167527083912,0.05314211052506401,4.057985650630085,4.047968011798039,1.7545169569364523,13.145898293652428,2.619470718680941,13.511330963895407,2.111208868830532,33.22820547131062,11.730208869023052,0.05750612150315154
