,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,66.81,69.1,72.48,58.84,66.94,66.75,67.71,71.53,61.02,0.8234,51.25,53.9,55.04,44.82,51.3,51.66,49.78,59.32,45.9,0.7087
split 1,62.47,62.96,68.53,55.94,62.53,62.47,64.31,66.98,56.11,0.7958,62.21,65.99,71.3,49.35,62.69,62.19,67.78,66.12,52.67,0.8133
split 2,65.77,67.89,72.7,56.73,65.94,65.69,66.89,71.31,58.86,0.8267,51.66,55.63,53.42,45.92,51.7,51.77,53.2,56.01,46.1,0.7162
split 3,60.81,62.26,66.72,53.44,60.94,60.75,62.57,64.72,54.96,0.7879,58.68,61.73,63.46,50.86,58.43,59.71,58.85,71.85,48.42,0.7788
split 4,62.81,64.84,68.51,55.08,62.95,62.75,64.74,66.58,56.92,0.8009,59.56,58.62,68.68,51.38,59.85,59.47,58.65,65.53,54.23,0.7817
split 5,61.58,62.9,66.82,55.01,61.6,61.55,63.04,66.26,55.36,0.7882,60.74,60.52,66.15,55.57,60.93,61.48,68.43,60.58,55.44,0.7749
mean,63.38,64.99,69.29,55.84,63.48,63.33,64.88,67.9,57.21,0.8038,57.35,59.4,63.01,49.65,57.48,57.71,59.45,63.23,50.46,0.7623
std,2.18,2.62,2.44,1.68,2.21,2.17,1.88,2.59,2.12,0.0157,4.31,3.98,6.66,3.58,4.42,4.34,6.87,5.2,3.83,0.0374
test mean,63.00063911008024,64.82575790155072,68.64488728023291,55.53127214845705,63.53249307774336,64.16023123690923,65.37019902095258,69.24841595083417,57.86207873894096,0.8064724229601147,51.511607976564406,53.65082377858807,60.210041813794916,40.67395833731024,53.29329873660178,53.72633488714475,54.58921200602798,61.46534310774929,45.12444954765702,0.7375293366364399
test std,7.771197603200983,8.968881200136934,11.744245438606926,8.136070146876728,7.689460426898514,7.072684725390116,8.550379754230084,7.87023964857956,9.985736948561195,0.06289167032024363,8.970249317888618,18.46167558808276,8.552208511268645,9.816237805346406,7.642842390877591,7.32285590253849,6.4717243352848755,8.772059003218184,9.79423026363177,0.06395127614033984
