,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5145,0.0,50.0,0.0,0.4791
split 1,0.0,50.0,0.0,0.4677,0.0,50.0,0.0,0.4661
split 2,0.0,50.0,0.0,0.4892,0.0,50.0,0.0,0.4455
split 3,0.0,50.0,0.0,0.4927,0.0,50.0,0.0,0.5358
split 4,0.0,50.0,0.0,0.4943,0.0,50.0,0.0,0.4969
split 5,0.0,50.0,0.0,0.511,0.0,50.0,0.0,0.5106
mean,0.0,50.0,0.0,0.4949,0.0,50.0,0.0,0.489
std,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0295
test mean,0.0,50.0,0.0,0.4744772037769257,0.0,50.0,0.0,0.5040451275068425
test std,0.0,1.2835395288270501e-14,0.0,0.06033712085099976,0.0,1.2560739669470201e-14,0.0,0.07795973435301679
