,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5507,0.0,50.0,0.0,0.4944
split 1,0.0,50.0,0.0,0.5281,0.0,50.0,0.0,0.4911
split 2,0.0,50.0,0.0,0.5369,0.0,50.0,0.0,0.5112
split 3,0.0,50.0,0.0,0.5309,0.0,50.0,0.0,0.5514
split 4,0.0,50.0,0.0,0.5324,0.0,50.0,0.0,0.5903
split 5,0.0,50.0,0.0,0.5298,0.0,50.0,0.0,0.5899
mean,0.0,50.0,0.0,0.5348,0.0,50.0,0.0,0.538
std,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0417
test mean,0.0,50.0,0.0,0.535876622059776,0.0,50.0,0.0,0.5138334494180218
test std,0.0,1.3442122834233563e-14,0.0,0.04883575596625196,0.0,1.0658141036401503e-14,0.0,0.07570816963295002
