,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5077,0.0,50.0,0.0,0.4795
split 1,0.0,50.0,0.0,0.4915,0.0,50.0,0.0,0.5279
split 2,0.0,50.0,0.0,0.5091,0.0,50.0,0.0,0.4699
split 3,0.0,50.0,0.0,0.5056,0.0,50.0,0.0,0.483
split 4,0.0,50.0,0.0,0.4987,0.0,50.0,0.0,0.5005
split 5,0.0,50.0,0.0,0.4984,0.0,50.0,0.0,0.5021
mean,0.0,50.0,0.0,0.5018,0.0,50.0,0.0,0.4938
std,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.019
test mean,0.0,50.0,0.0,0.5037375086879957,0.0,50.0,0.0,0.4779269549450304
test std,0.0,1.572008455159306e-14,0.0,0.0815167451731654,0.0,1.1512108063996359e-14,0.0,0.08328817262838852
