,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5665,0.0,50.0,0.0,0.5175
split 1,0.0,50.0,0.0,0.5874,0.0,50.0,0.0,0.4433
split 2,0.0,50.0,0.0,0.5855,0.0,50.0,0.0,0.4541
split 3,0.0,50.0,0.0,0.5942,0.0,50.0,0.0,0.4336
split 4,0.0,50.0,0.0,0.5836,0.0,50.0,0.0,0.4725
split 5,0.0,50.0,0.0,0.5752,0.0,50.0,0.0,0.5524
mean,0.0,50.0,0.0,0.5821,0.0,50.0,0.0,0.4789
std,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.0426
test mean,0.0,49.99999999999999,0.0,0.5670415811656063,0.0,50.0,0.0,0.47326185652002434
test std,0.0,1.529166373896289e-14,0.0,0.07278851096881606,0.0,1.2560739669470201e-14,0.0,0.03774384191041096
