plant,time point,dividing parent cell,parent neighbor,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p4 FM1,0,21461,21465,2.0,0.1462818866124973,-0.019157635551976054,0.00014656614951007987,0.0562429696287964,8.464548428267683e-06,0.0012083947713439642,0.020257570238056577,0.020591871001158023,0.03406087309477554,0.0562429696287964,55.21756038101361,14.0,77.60147595252363,-0.10665478312537141,0.27777777777777724,0.03322016060358238,-0.020115440479010788,5.0,0.6641830291192992,0.09016858316026047,0.0009675098168563794,0.0017497812773403323,5.412364283783159e-06,0.009001234886459158,0.07614679392227208,0.05272948372076245,0.02058546741325066,0.0017497812773403323,214.09305716482274,23.0,98.79382366935135,0.3484848484848485,3.8333333333333335,0.21893299425449567,0.10620863922137548
p4 FM1,0,21461,21473,1.0,0.032798092421909786,-0.007098288439601044,0.00015412052815443175,0.020622422197225345,1.2364752563452865e-05,-0.000324650597172408,0.014726462013559247,0.01522000499273441,0.021585634524241157,0.020622422197225345,50.98210858798265,16.0,86.78995342182583,-0.120414673046252,0.2719298245614037,0.05372346734538094,-0.03672970833706639,5.0,0.6641830291192992,0.09016858316026047,0.0009675098168563794,0.0017497812773403323,5.412364283783159e-06,0.009001234886459158,0.07614679392227208,0.05272948372076245,0.02058546741325066,0.0017497812773403323,214.09305716482274,23.0,98.79382366935135,0.3484848484848485,3.8333333333333335,0.21893299425449567,0.10620863922137548
p4 FM1,0,21486,21395,0.0,0.05643997781787613,0.0023283863837601504,6.711566011352436e-05,0.027621547306586672,0.00022718746697794636,0.00040566194857801635,-0.00032603342593642837,0.016092531354831713,0.011050039649930253,0.027621547306586672,-8.310704627980954,1.0,0.38316361806781174,-0.022875816993464082,-0.12418300653594816,0.024429370150411633,-0.009008590389308319,6.0,0.7275975279190473,0.08599959218117652,0.0012411846204108297,0.019372578427696536,0.00013101013245128075,0.008323648735405741,0.09240489493751405,0.07416106723688355,0.05492236951900945,0.019372578427696536,275.86943102379286,36.0,173.51312616177913,0.2647058823529412,4.235294117647059,0.25820483342890244,0.09479001337560826
p4 FM1,0,21486,21477,-1.0,-0.11308388234293643,0.017489713954168054,-8.158906379765788e-05,-0.010373703287089113,-8.731622512815764e-05,-0.0010009070456416021,-0.006637722983422481,-0.018680272483869817,-0.023173279120485793,-0.010373703287089113,-11.643736445456057,0.0,1.9974155891447367,0.0,0.0,-0.010304767972262402,-0.006855769670538039,6.0,0.7275975279190473,0.08599959218117652,0.0012411846204108297,0.019372578427696536,0.00013101013245128075,0.008323648735405741,0.09240489493751405,0.07416106723688355,0.05492236951900945,0.019372578427696536,275.86943102379286,36.0,173.51312616177913,0.2647058823529412,4.235294117647059,0.25820483342890244,0.09479001337560826
p4 FM1,0,21486,21595,1.0,0.16108527801208172,-0.013353753574944588,0.00017818179031942223,0.0928633920759905,0.00035306896965949094,0.0010887250641778215,0.01268178230144884,0.027250423295176643,0.054385823073585006,0.0928633920759905,37.929578121327665,11.0,64.89951233488861,-0.04089635854341736,0.2408963585434174,0.009495526231389106,-0.012173728343202822,6.0,0.7275975279190473,0.08599959218117652,0.0012411846204108297,0.019372578427696536,0.00013101013245128075,0.008323648735405741,0.09240489493751405,0.07416106723688355,0.05492236951900945,0.019372578427696536,275.86943102379286,36.0,173.51312616177913,0.2647058823529412,4.235294117647059,0.25820483342890244,0.09479001337560826
p4 FM1,0,21465,21470,-2.0,-0.18937303843748388,0.034941228198860225,1.2543789427924999e-05,-0.05436820397450318,1.0050628751609117e-05,-0.002544479819736098,-0.01051244947071707,-0.018100812968790368,-0.022250793138397992,-0.05436820397450318,-5.612709358410143,1.0,9.536209895181429,0.006535947712418333,0.1111111111111116,-0.005536613653806671,-0.004867656037581186,7.0,0.8104649157317965,0.07101094760828441,0.0011140759663664593,0.05799275090613673,1.3876912712050843e-05,0.010209629657803122,0.09640436416032866,0.07332135472192047,0.0546463405080262,0.05799275090613673,269.31061754583635,37.0,176.39529962187498,0.2418300653594771,4.111111111111111,0.25215315485807804,0.0860931987423647
p4 FM1,0,21465,21473,-1.0,-0.11348379419058752,0.01205934711237501,7.554378644351878e-06,-0.03562054743157105,3.900204135185182e-06,-0.0015330453685163722,-0.00553110822449733,-0.005371866008423612,-0.012475238570534383,-0.03562054743157105,-4.235451793030961,2.0,9.1884774693022,-0.013759889920880591,-0.005847953216373547,0.020503306741798566,-0.0166142678580556,7.0,0.8104649157317965,0.07101094760828441,0.0011140759663664593,0.05799275090613673,1.3876912712050843e-05,0.010209629657803122,0.09640436416032866,0.07332135472192047,0.0546463405080262,0.05799275090613673,269.31061754583635,37.0,176.39529962187498,0.2418300653594771,4.111111111111111,0.25215315485807804,0.0860931987423647
p4 FM1,0,21465,21576,1.0,0.012180961607130336,-0.014088274089396897,0.00019181459439336743,0.038620172478440185,4.5201734652438706e-05,-0.0007447818901492181,0.01532352414417705,0.025382311609800312,0.04321530174408448,0.038620172478440185,37.64003772481084,13.0,83.25930751096195,-0.02537984890926062,0.43434343434343514,0.010445057559711923,-0.007978687505503165,7.0,0.8104649157317965,0.07101094760828441,0.0011140759663664593,0.05799275090613673,1.3876912712050843e-05,0.010209629657803122,0.09640436416032866,0.07332135472192047,0.0546463405080262,0.05799275090613673,269.31061754583635,37.0,176.39529962187498,0.2418300653594771,4.111111111111111,0.25215315485807804,0.0860931987423647
p4 FM1,0,21527,21403,0.0,0.060254016860396886,-0.0003239158075073051,4.019641716020389e-05,0.018497687789026367,0.00519533928201437,0.0004401389904349559,0.0007950831373130518,0.012589907722488122,0.02104543829711243,0.018497687789026367,7.1294822654788845,2.0,4.49282149152927,-0.013032581453634062,-0.023809523809523725,0.019214741565875215,-0.008494744178886515,6.0,0.8149395042374885,0.09904295165525437,0.0015462617239076636,0.023372078490188724,0.03482020676257847,0.007353518984457145,0.09866940778997779,0.09043907200129536,0.08967506910480799,0.023372078490188724,283.8246565480674,45.0,235.49171617892657,0.23684210526315788,4.5,0.2966762223653699,0.10616474317489849
p4 FM1,0,21527,21439,1.0,0.11748971049702694,-0.017874096936406722,2.970365583551812e-05,0.11973503312085988,0.028729977425238133,0.0006785904676284748,0.008827849761152085,0.014956687501851751,0.03725976511005666,0.11973503312085988,16.545795618244824,5.0,27.93789083387921,-0.020391888812941406,0.04545454545454586,0.02854027480089605,-0.006206367656873005,6.0,0.8149395042374885,0.09904295165525437,0.0015462617239076636,0.023372078490188724,0.03482020676257847,0.007353518984457145,0.09866940778997779,0.09043907200129536,0.08967506910480799,0.023372078490188724,283.8246565480674,45.0,235.49171617892657,0.23684210526315788,4.5,0.2966762223653699,0.10616474317489849
