,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5941,0.0,50.0,0.0,0.4741
split 1,0.0,50.0,0.0,0.574,0.0,50.0,0.0,0.6126
split 2,0.0,50.0,0.0,0.5819,0.0,50.0,0.0,0.5556
split 3,0.0,50.0,0.0,0.5419,0.0,50.0,0.0,0.5644
split 4,0.0,50.0,0.0,0.5679,0.0,50.0,0.0,0.5555
split 5,0.0,50.0,0.0,0.5748,0.0,50.0,0.0,0.55
mean,0.0,50.0,0.0,0.5724,0.0,50.0,0.0,0.552
std,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0407
test mean,0.0,50.0,0.0,0.5376447753442934,0.0,50.0,0.0,0.5328245719909217
test std,0.0,1.9561161980496004e-14,0.0,0.08169881288290443,0.0,1.4862067603866e-14,0.0,0.038181083838778586
