plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P2,0,27,11,6.0,0.4,0.005719375347221024,0.07206107837978028,0.09595759967773412,0.00409589006581766,0.0693446359650358,0.06880529254373949,0.08001769766466003,0.07270200721203812,53.85447330447343,46.0,232.7616054209791,0.21904761904761907,4.380952380952381,2.4,0.6785359261118281,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-2.0,0.11428571428571432,-0.00035788890058821403,-0.046236619563135795,-0.016605670870295117,-0.0012377567903335083,-0.011248261652002572,-0.02894104177674911,-0.03642997106121365,-0.046480008691838576,-0.8318181818181856,-6.0,-41.35571955898803,0.013514022209674431,-0.14078674948240089,-0.026877470355731514,0.008927473135544872
P2,0,27,42,5.0,0.5,0.005334144087750121,0.025184264144042613,0.07492451408527398,0.0035096243768891373,0.062885780405751,0.050066570092429145,0.04364087517424534,0.022147272130214654,50.826406926407024,42.0,214.78518295805344,0.2456140350877193,4.421052631578948,2.263157894736842,0.7588319619665559,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-3.0,0.2142857142857143,-0.0007431201600591169,-0.09311343379887346,-0.03763875646275526,-0.001824022479262031,-0.01770711721128737,-0.04767976422805945,-0.07280679355162833,-0.09703474377366204,-3.8598845598845912,-10.0,-59.33214202191368,0.04008043824977467,-0.10068649885583447,-0.1637195756188894,0.08922350899027265
P2,0,27,128,7.0,0.3333333333333333,0.005952899149076597,0.10991122779996376,0.10246668073826484,0.0046892334697667525,0.07634354922511155,0.09195571383817921,0.11630961806903417,0.1074725443466861,53.78989898989911,54.0,281.52342624604637,0.1956521739130435,4.5,2.496376811594203,0.6101205550856692,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-1.0,0.047619047619047616,-0.0001243650987326414,-0.00838647014295231,-0.010096589809764397,-0.0006444133863844157,-0.004249348391926824,-0.005790620482309383,-0.000138050656839514,-0.011709471557190598,-0.8963924963925081,2.0,7.406101266079247,-0.009881422924901156,-0.02173913043478226,0.06949934123847168,-0.05948789789061404
P2,0,27,180,7.0,0.3333333333333333,0.005855983196208898,0.0317678794340141,0.10677990484249658,0.004746000017608478,0.07406738047111125,0.07593651674489808,0.0648753785760767,0.029493198063791408,52.29365079365092,47.0,245.5205366586734,0.22380952380952382,4.476190476190476,2.3333333333333335,0.7162789860823175,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-1.0,0.047619047619047616,-0.00022128105160034058,-0.08652981850890197,-0.005783365705532659,-0.00058764683854269,-0.006525517145927126,-0.021809817575590515,-0.05157229014979699,-0.08968881784008528,-2.392640692640697,-5.0,-28.59678832129373,0.018275926971579176,-0.045548654244305986,-0.09354413702239794,0.046670533106034306
P2,0,27,262,4.0,0.6666666666666666,0.0048120242286449596,0.0008326879504564899,0.05580898262812049,0.0029482366883021157,0.055241523957095924,0.03011362009514433,0.014294297147744979,0.0010071954811339506,47.40281385281409,32.0,159.00329911390781,0.30476190476190473,4.266666666666667,2.0,0.9958268769607572,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-4.0,0.38095238095238093,-0.0012652400191642786,-0.11746500999245958,-0.05675428791990875,-0.0023854101678490525,-0.02535137365994245,-0.06763271422534427,-0.1021533715781287,-0.11817482042274274,-7.283477633477524,-20.0,-115.11402586605931,0.09922830792396009,-0.25507246376811565,-0.4268774703557314,0.326218423984474
P2,0,27,264,6.0,0.4,0.0055521268103197905,0.04625257689766105,0.08092923735975259,0.004129695582085531,0.06925277700450802,0.06458916269423805,0.06300220323553912,0.048836589638713936,51.74606782106799,46.0,236.7313626516295,0.21904761904761907,4.380952380952381,2.3523809523809525,0.6835694018908348,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-2.0,0.11428571428571432,-0.0005251374374894476,-0.07204512104525501,-0.03163403318827665,-0.0012039512740656374,-0.011340120612530355,-0.03315717162625055,-0.05344546549033456,-0.07034542626516277,-2.940223665223627,-6.0,-37.38596232833763,0.013514022209674431,-0.14078674948240089,-0.07449651797477896,0.013960948914551574
P2,0,27,313,5.0,0.5,0.0054076920540868266,0.02015412198272318,0.08714928666030772,0.0034998038487913455,0.06333854981393872,0.05096795240953485,0.041640386343794605,0.021267956679679952,51.604076479076575,44.0,225.4470642579363,0.23157894736842108,4.4,2.3105263157894735,0.7471659441077589,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-3.0,0.2142857142857143,-0.0006695721937224116,-0.0981435759601929,-0.025413983887721522,-0.0018338430073598228,-0.01725434780309966,-0.04677838191095375,-0.07480728238207908,-0.09791405922419674,-3.0822150072150407,-8.0,-48.67026072203083,0.026045350530476435,-0.1217391304347819,-0.11635115456625789,0.0775574911314757
P2,0,27,341,6.0,0.4,0.005451872000308453,0.01771204609506315,0.07475961023110685,0.004171684221323928,0.06698449565830855,0.05578690145074753,0.039046975756497015,0.020302284780626362,50.49884559884572,40.0,205.4402484629872,0.26143790849673204,4.444444444444445,2.196078431372549,0.8259428037728248,8.0,0.2857142857142857,0.006077264247809238,0.11829769794291607,0.11256327054802924,0.005333646856151168,0.08059289761703838,0.0977463343204886,0.11644766872587368,0.1191820159038767,54.686291486291616,52.0,274.1173249799671,0.20553359683794464,4.521739130434782,2.4268774703557314,0.6696084529762832,-2.0,0.11428571428571432,-0.0006253922475007853,-0.10058565184785292,-0.037803660316922394,-0.0011619626348272401,-0.013608401958729824,-0.04195943286974107,-0.07740069296937667,-0.09887973112325034,-4.187445887445897,-12.0,-68.67707651697992,0.0559043116587874,-0.07729468599033762,-0.23079903898318221,0.15633435079654157
P2,0,63,40,5.0,0.5,0.00508580143864973,0.028276682702925767,0.08784187913639305,0.003552692413874163,0.06513978391331555,0.04874486785272537,0.043724064833067254,0.026333919619082585,48.69831002331025,47.0,243.7210704615986,0.20346320346320346,4.2727272727272725,2.398268398268398,0.562762862283582,10.0,0.2222222222222222,0.006168543883619433,0.13517835216584073,0.1655825543120337,0.006611768111974685,0.0930908297668057,0.12259294325421376,0.14287586271496916,0.13147733649855387,54.65599955599977,56.0,312.62923043888895,0.2028985507246377,4.666666666666667,2.402173913043478,0.7180266443320518,-5.0,0.2777777777777778,-0.0010827424449697028,-0.10690166946291496,-0.07774067517564065,-0.0030590756981005223,-0.027951045853490147,-0.07384807540148838,-0.0991517978819019,-0.10514341687947128,-5.957689532689521,-9.0,-68.90815997729035,0.0005646527385657629,-0.3939393939393945,-0.0039055147750799435,-0.1552637820484698
P2,0,63,71,5.0,0.5,0.005262689719051884,0.023342762607925508,0.10340079844630833,0.0035292663537148253,0.0638264828740334,0.04577159014642011,0.03662065297118802,0.023607390979235032,50.94949494949508,45.0,243.67993302709795,0.23684210526315788,4.5,2.236842105263158,0.7426876453547957,10.0,0.2222222222222222,0.006168543883619433,0.13517835216584073,0.1655825543120337,0.006611768111974685,0.0930908297668057,0.12259294325421376,0.14287586271496916,0.13147733649855387,54.65599955599977,56.0,312.62923043888895,0.2028985507246377,4.666666666666667,2.402173913043478,0.7180266443320518,-5.0,0.2777777777777778,-0.000905854164567549,-0.11183558955791523,-0.06218175586572537,-0.00308250175825986,-0.029264346892772297,-0.07682135310779364,-0.10625520974378114,-0.10786994551931883,-3.706504606504687,-11.0,-68.94929741179101,0.03394355453852019,-0.16666666666666696,-0.16533180778032008,0.024661001022743934
