,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4789,0.0,50.0,0.0,0.4602
split 1,0.0,50.0,0.0,0.5171,0.0,50.0,0.0,0.5801
split 2,0.0,50.0,0.0,0.5438,0.0,50.0,0.0,0.4526
split 3,0.0,50.0,0.0,0.4694,0.0,50.0,0.0,0.4977
split 4,0.0,50.0,0.0,0.4836,0.0,50.0,0.0,0.3994
split 5,0.0,50.0,0.0,0.4761,0.0,50.0,0.0,0.4585
mean,0.0,50.0,0.0,0.4948,0.0,50.0,0.0,0.4747
std,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.0552
test mean,0.0,50.00000000000001,0.0,0.5330067294669586,0.0,49.99999999999999,0.0,0.4708547409200177
test std,0.0,1.572008455159306e-14,0.0,0.07425563385662298,0.0,1.96205025865255e-14,0.0,0.06266447120545868
