,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5114,0.0,50.0,0.0,0.5068
split 1,0.0,50.0,0.0,0.5189,0.0,50.0,0.0,0.4891
split 2,0.0,50.0,0.0,0.4878,0.0,50.0,0.0,0.5
split 3,0.0,50.0,0.0,0.495,0.0,50.0,0.0,0.5442
split 4,0.0,50.0,0.0,0.4903,0.0,50.0,0.0,0.506
split 5,0.0,50.0,0.0,0.5002,0.0,50.0,0.0,0.4443
mean,0.0,50.0,0.0,0.5006,0.0,50.0,0.0,0.4984
std,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0296
test mean,0.0,50.0,0.0,0.523550990974765,0.0,50.00000000000001,0.0,0.5184554495690644
test std,0.0,1.9561161980496004e-14,0.0,0.07587361552891146,0.0,1.464821375527116e-14,0.0,0.09464764854783134
