,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5329,0.0,50.0,0.0,0.5345
split 1,0.0,50.0,0.0,0.5219,0.0,50.0,0.0,0.5154
split 2,0.0,50.0,0.0,0.5813,0.0,50.0,0.0,0.4346
split 3,0.0,50.0,0.0,0.5331,0.0,50.0,0.0,0.4847
split 4,0.0,50.0,0.0,0.541,0.0,50.0,0.0,0.4886
split 5,0.0,50.0,0.0,0.5479,0.0,50.0,0.0,0.504
mean,0.0,50.0,0.0,0.543,0.0,50.0,0.0,0.4936
std,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0312
