,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5232,0.0,50.0,0.0,0.4752
split 1,0.0,50.0,0.0,0.5122,0.0,50.0,0.0,0.4538
split 2,0.0,50.0,0.0,0.514,0.0,50.0,0.0,0.5429
split 3,0.0,50.0,0.0,0.5198,0.0,50.0,0.0,0.5059
split 4,0.0,50.0,0.0,0.517,0.0,50.0,0.0,0.5275
split 5,0.0,50.0,0.0,0.5131,0.0,50.0,0.0,0.5386
mean,0.0,50.0,0.0,0.5166,0.0,50.0,0.0,0.5073
std,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.033
test mean,0.0,49.99999999999999,0.0,0.5221957556275364,0.0,50.0,0.0,0.5017950534178472
test std,0.0,1.529166373896289e-14,0.0,0.09187872264632271,0.0,1.2560739669470201e-14,0.0,0.05208318029037651
