,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,45.23,51.8,44.33,39.56,46.22,47.72,42.59,49.05,51.51,0.6564,29.74,36.93,16.95,35.35,31.11,29.95,35.68,23.57,30.61,0.4775
split 1,40.68,51.85,35.53,34.67,43.18,46.07,39.61,49.66,48.94,0.6382,28.46,45.17,17.47,22.75,32.07,30.37,34.63,23.06,33.42,0.4557
split 2,42.38,51.32,33.11,42.72,44.09,45.92,41.74,51.82,44.22,0.6348,33.75,43.41,30.72,27.14,35.69,36.89,33.81,39.41,37.45,0.5517
split 3,43.05,52.12,36.62,40.43,44.58,46.03,41.87,49.74,46.48,0.6441,30.62,41.68,21.12,29.07,32.5,31.76,33.61,28.46,33.22,0.4956
split 4,36.46,50.8,33.09,25.51,40.76,46.01,37.12,49.27,51.64,0.6231,30.44,44.27,19.54,27.52,34.1,35.08,33.13,35.94,36.15,0.5423
split 5,42.48,49.68,39.0,38.75,43.58,45.11,40.22,48.75,46.37,0.6279,31.44,27.69,44.93,21.7,33.85,32.74,32.1,35.81,30.32,0.512
mean,41.72,51.26,36.95,36.94,43.73,46.14,40.52,49.71,48.19,0.6374,30.74,39.86,25.12,27.25,33.22,32.8,33.83,31.04,33.53,0.5058
std,2.7,0.82,3.88,5.65,1.64,0.78,1.83,1.0,2.75,0.0108,1.63,6.06,9.97,4.47,1.5,2.48,1.13,6.36,2.62,0.0339
test mean,36.839965526521084,49.99146835694111,29.286295883707254,31.242132338914917,41.556071876322,45.611549567120036,39.26516492250693,45.037727441296376,52.53175633755681,0.6326923738122531,29.52148252534301,41.72674792326088,25.648987449419533,21.188712203348615,33.71427436592512,31.656917223428966,32.78198672963028,29.35788947652497,32.83087546413164,0.5164197692872625
test std,8.415285411897901,5.551874256995553,15.241734131311391,17.566848023843782,5.691353889765707,10.969146383827049,5.776009148289111,19.85875843308688,24.42567943564951,0.05739072726783232,4.341577701768057,5.970342450998287,15.523915259597025,12.401359963864927,4.535865620162382,6.627393372172323,4.901837109740058,11.88705516407882,13.900959674917425,0.04270332857371698
