,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,56.42,56.95,57.1,55.2,56.44,58.98,21.78,0.7401,31.93,30.56,34.3,30.93,31.98,35.81,34.01,0.4741
split 1,54.75,55.48,54.48,54.29,54.75,53.05,22.63,0.7279,31.79,35.05,30.28,30.03,31.76,29.05,34.12,0.4876
split 2,55.48,56.33,54.3,55.81,55.48,54.58,22.26,0.7379,32.39,31.13,36.67,29.37,32.43,37.16,33.78,0.5025
split 3,56.98,57.79,54.77,58.39,57.02,52.96,21.49,0.7407,30.61,31.76,34.13,25.94,30.61,34.01,34.69,0.4812
split 4,56.74,56.71,57.68,55.83,56.74,57.53,21.63,0.7434,32.19,38.23,30.77,27.59,32.2,31.29,33.9,0.4794
mean,56.07,56.65,55.66,55.91,56.09,55.42,21.96,0.738,31.78,33.34,33.23,28.77,31.8,33.47,34.1,0.4849
std,0.84,0.76,1.43,1.36,0.85,2.43,0.42,0.0053,0.62,2.9,2.39,1.79,0.63,2.95,0.32,0.0098
testing,54.46,59.23,51.56,52.58,55.01,45.8,22.49,0.7373,34.13,32.89,29.7,39.81,34.57,25.93,32.72,0.517
