,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5485,0.0,50.0,0.0,0.4522
split 1,0.0,50.0,0.0,0.5426,0.0,50.0,0.0,0.5319
split 2,0.0,50.0,0.0,0.5229,0.0,50.0,0.0,0.5031
split 3,0.0,50.0,0.0,0.5357,0.0,50.0,0.0,0.46
split 4,0.0,50.0,0.0,0.5084,0.0,50.0,0.0,0.5363
split 5,0.0,50.0,0.0,0.5336,0.0,50.0,0.0,0.5603
mean,0.0,50.0,0.0,0.532,0.0,50.0,0.0,0.5073
std,0.0,0.0,0.0,0.0132,0.0,0.0,0.0,0.0399
test mean,0.0,50.0,0.0,0.5186049486018898,0.0,50.0,0.0,0.5256506012202735
test std,0.0,1.7632193132083764e-14,0.0,0.04996183465624769,0.0,1.879919374704706e-14,0.0,0.05108595944802466
