,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,59.3,59.09,61.68,57.14,59.45,69.23,20.28,0.7782,34.82,26.42,45.16,32.89,35.98,55.68,32.01,0.4985
split 1,59.04,55.71,61.32,60.09,59.16,66.38,20.42,0.7662,30.16,20.41,39.8,30.27,31.06,44.32,34.47,0.4844
split 2,60.08,59.4,62.45,58.4,60.21,68.95,19.9,0.7739,28.31,25.61,34.48,24.84,28.79,39.77,35.61,0.445
split 3,60.09,57.72,63.07,59.49,60.3,71.51,19.85,0.7769,37.03,38.6,39.15,33.33,37.12,42.05,31.44,0.4909
split 4,57.96,55.68,58.87,59.35,58.05,66.48,20.98,0.7554,37.46,29.63,45.83,36.9,37.93,50.57,31.03,0.5416
mean,59.3,57.52,61.48,58.89,59.44,68.51,20.28,0.7701,33.56,28.13,40.89,31.65,34.18,46.48,32.91,0.4921
std,0.79,1.6,1.44,1.03,0.82,1.92,0.41,0.0084,3.69,6.01,4.19,4.01,3.6,5.84,1.8,0.0309
testing,58.39,58.98,60.4,55.8,58.54,65.15,20.73,0.7731,28.83,30.11,44.82,11.57,33.66,66.34,33.17,0.4825
