,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,41.66,48.38,33.8,42.79,42.89,44.5,39.48,48.29,45.73,0.6318,33.51,41.31,22.7,36.52,34.91,34.82,36.82,34.6,33.06,0.525
split 1,42.14,47.56,35.92,42.93,42.97,44.15,40.02,48.15,44.29,0.6283,29.72,46.34,18.89,23.93,31.75,29.43,38.88,22.91,26.5,0.4638
split 2,42.66,47.96,35.88,44.14,43.53,45.11,41.72,51.81,41.81,0.6258,30.51,39.02,30.63,21.88,32.29,33.88,31.45,30.95,39.24,0.518
split 3,42.6,49.71,36.0,42.1,43.68,44.77,40.96,47.36,46.0,0.6307,26.14,44.48,19.39,14.55,32.25,32.95,31.81,35.51,31.53,0.4993
split 4,42.49,48.57,35.42,43.49,43.47,44.66,40.93,49.04,44.02,0.6267,30.32,41.0,10.19,39.76,34.59,35.74,31.53,35.39,40.29,0.5132
split 5,41.78,49.86,32.88,42.59,43.21,44.54,41.44,49.42,42.77,0.6192,39.47,38.53,33.45,46.42,40.41,42.68,36.03,51.93,40.09,0.5398
mean,42.22,48.67,34.98,43.01,43.29,44.62,40.76,49.01,44.1,0.6271,31.61,41.78,22.54,30.51,34.37,34.92,34.42,35.21,35.12,0.5098
std,0.4,0.85,1.21,0.66,0.29,0.29,0.78,1.41,1.49,0.0041,4.12,2.8,7.75,11.16,2.96,4.0,2.95,8.66,5.16,0.0239
test mean,37.57090536112137,43.56273610613422,28.657300168599924,40.49267980862996,40.66697252693485,43.23883416451727,37.21998924750965,45.183758741719714,47.31275450432244,0.6085982845719574,28.343065211375468,40.763329624379054,15.86001246896904,28.405853540778306,31.74699635627603,31.34668357656007,34.100168991476565,27.392868020857666,32.54701371734599,0.501630273477678
test std,5.921816385282513,14.238896034364227,13.705550837921992,9.218440771194912,5.484570306748469,7.183472172220506,11.644212987662003,19.623709307544985,14.244718322158269,0.03822570916916949,4.288366966980602,7.139166018549088,9.98341454072497,5.975727533155139,4.626137960210394,7.112558720117481,4.65089463320093,14.230730928893962,6.051969543544043,0.02025057311562923
