,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,64.72,69.84,77.94,0.8155,88.0,87.78,86.45,0.9347
split 1,73.2,75.66,81.42,0.8489,78.2,76.34,72.51,0.8272
split 2,74.83,76.98,82.53,0.8728,50.26,63.76,80.11,0.7903
split 3,72.77,74.0,76.37,0.8192,81.01,81.25,82.05,0.8911
split 4,72.35,74.39,78.61,0.8241,78.95,80.0,83.33,0.9052
split 5,66.45,71.95,82.66,0.828,55.03,68.07,93.06,0.9028
mean,70.72,73.8,79.92,0.8347,71.91,76.2,82.92,0.8752
std,3.75,2.35,2.41,0.0201,14.05,8.11,6.22,0.05
test mean,76.74337393265726,79.83280208567462,84.1630208120257,0.9140238730597977,72.53919203615231,78.30450371070887,90.44934154028286,0.9242949226587585
test std,14.893443011004052,9.358935476633272,8.021404806311095,0.04986976782804942,16.7732532542039,8.644891373362176,7.934503236210071,0.02496817926716699
