,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,71.06,73.0,76.57,0.8155,85.47,84.33,79.65,0.9347
split 1,73.88,75.59,79.43,0.8489,81.41,78.55,71.83,0.8272
split 2,78.68,79.24,80.88,0.8728,59.18,66.97,77.45,0.7903
split 3,72.65,74.04,76.77,0.8192,81.36,81.67,82.76,0.8911
split 4,73.11,74.28,76.58,0.8241,80.3,80.58,81.48,0.9052
split 5,74.72,75.76,78.05,0.828,71.46,76.29,89.73,0.9028
mean,74.02,75.32,78.05,0.8347,76.53,78.06,80.48,0.8752
std,2.37,1.99,1.63,0.0201,8.83,5.55,5.42,0.05
