,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,20.04,50.42,4.89,4.82,34.75,63.58,33.8,74.23,82.72,0.6147,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5043
split 1,26.55,50.51,4.94,24.2,36.5,44.19,35.06,53.33,44.18,0.5995,26.37,48.24,24.14,6.74,35.33,42.39,33.3,70.0,23.88,0.5884
split 2,31.13,50.08,5.62,37.68,38.67,51.04,36.61,74.02,42.49,0.6118,25.44,39.83,0.0,36.49,31.84,21.31,31.77,0.0,32.17,0.508
split 3,27.63,50.91,7.33,24.63,37.38,46.93,35.18,53.56,52.05,0.6119,17.34,48.81,1.67,1.53,32.57,49.05,32.72,100.0,14.42,0.5289
split 4,27.13,50.57,11.21,19.6,36.74,46.01,34.94,57.09,46.0,0.606,15.96,47.87,0.0,0.0,30.58,10.79,32.38,0.0,0.0,0.5316
split 5,26.51,50.56,6.95,22.02,36.54,49.54,34.98,70.29,43.36,0.6045,24.75,49.75,8.63,15.88,34.78,35.45,34.45,31.41,40.49,0.565
mean,26.5,50.51,6.82,22.16,36.76,50.22,35.1,63.75,51.8,0.6081,21.09,47.42,5.74,10.11,33.07,28.35,32.99,33.57,18.49,0.5377
std,3.29,0.24,2.17,9.65,1.17,6.38,0.82,9.26,14.17,0.0052,4.48,3.48,8.78,13.03,1.64,14.89,0.85,39.0,15.28,0.0301
test mean,22.690614546170025,50.78945970623698,4.273563003187953,13.008820929085134,35.99800197417332,27.907703648871657,34.63324518948922,11.846389673476535,37.24347608364923,0.6187014702330691,19.77470397006611,46.85014777490984,5.115435882462126,7.358528252826363,32.05755732844736,20.376804448762933,32.1291012547483,9.092004823185857,19.909307268354645,0.5032918045383382
test std,7.2563381845401835,2.76264877139426,13.045626200248185,14.535133259439334,4.521239480398383,14.869424993137445,2.310193711019288,25.320318627025134,33.65663341605558,0.05840900593083698,2.72396504732102,3.8307900667828942,10.4928866418409,7.628904898875915,2.1181083101386,6.56073953033249,1.8043193537929718,15.75239490352635,19.38379521752413,0.04658817399189604
