,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,31.18,50.91,3.74,38.88,39.2,48.5,37.18,64.56,43.78,0.5973,22.78,48.78,0.0,19.55,33.25,21.06,34.21,0.0,28.99,0.5067
split 1,30.42,49.88,4.04,37.35,38.28,44.67,36.24,54.33,43.45,0.592,21.63,44.3,0.0,20.57,29.83,18.78,32.06,0.0,24.27,0.4837
split 2,22.93,50.17,3.57,15.06,35.3,47.57,34.05,56.92,51.73,0.5904,18.97,49.23,0.0,7.67,33.22,25.2,33.17,0.0,42.44,0.5168
split 3,31.83,48.35,2.67,44.48,39.18,40.66,36.53,41.18,44.28,0.5984,25.35,38.7,1.6,35.76,31.12,29.02,31.96,24.73,30.37,0.5131
split 4,32.57,49.12,5.55,43.05,39.48,45.37,36.99,55.45,43.66,0.5968,23.32,32.29,4.7,32.97,27.66,31.2,26.48,38.63,28.48,0.5043
split 5,26.82,49.31,1.77,29.38,36.23,43.58,34.64,52.74,43.35,0.5913,20.23,43.03,0.0,17.67,29.28,18.51,30.29,0.0,25.25,0.5025
mean,29.29,49.62,3.56,34.7,37.95,45.06,35.94,54.2,45.04,0.5944,22.05,42.72,1.05,22.37,30.73,23.96,31.36,10.56,29.97,0.5045
std,3.38,0.82,1.17,10.03,1.61,2.58,1.18,6.93,3.01,0.0032,2.08,5.87,1.73,9.5,2.04,4.91,2.49,15.46,5.97,0.0105
test mean,26.026361972147427,49.91449069460046,1.0228113855056864,27.141783836336145,36.46582860956675,26.67328697795511,35.35250864168227,2.6288481494292633,42.03850414275381,0.5859819188607543,23.482984219197366,45.14983772383148,0.0,25.29911493376062,32.822640478307065,22.23988239085517,32.6646013889205,0.0,34.05504578364501,0.5629232241822536
test std,5.644966999393854,4.246289832936201,4.574151572302915,14.735410028177517,4.226403863726062,7.7533864630901315,4.316611743111409,11.756566329296712,20.375466573886037,0.054030061424356075,4.194841209084094,3.2664640279113244,0.0,12.958769683001902,2.799706923645221,6.158583635814017,1.8543877396775557,0.0,17.480382157581055,0.04085930801873887
