,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,24.41,49.91,1.69,21.64,35.37,43.38,34.44,54.19,41.52,0.5914,20.64,49.15,2.71,10.06,33.94,43.05,33.18,45.77,50.21,0.5456
split 1,25.24,50.48,1.09,24.14,36.03,47.49,34.98,65.26,42.24,0.59,25.04,46.79,0.0,28.34,34.26,24.44,32.9,0.0,40.42,0.4926
split 2,25.68,49.99,1.68,25.37,36.24,48.25,34.51,62.42,47.83,0.5943,22.37,45.91,0.0,21.19,31.98,21.01,32.23,0.0,30.8,0.5474
split 3,25.82,50.83,1.23,25.41,36.53,53.11,35.26,80.36,43.73,0.6008,22.68,47.58,3.13,17.33,33.23,39.92,32.81,52.17,34.78,0.5068
split 4,29.01,49.41,7.25,30.37,36.99,46.7,35.11,62.89,42.09,0.5936,24.72,42.06,5.33,26.77,29.9,25.4,31.97,15.41,28.81,0.5524
split 5,25.25,50.42,2.96,22.38,35.96,45.15,34.84,58.09,42.51,0.5976,22.26,46.49,0.0,20.27,32.84,23.7,32.02,0.0,39.09,0.5258
mean,25.9,50.17,2.65,24.89,36.19,47.35,34.86,63.87,43.32,0.5946,22.95,46.33,1.86,20.66,32.69,29.59,32.52,18.89,37.35,0.5284
std,1.46,0.46,2.14,2.83,0.5,3.03,0.3,8.21,2.12,0.0036,1.51,2.17,2.03,6.06,1.45,8.57,0.47,22.03,7.07,0.0223
test mean,21.772906703141768,46.488266252946,1.830085509610732,17.000368346868566,34.462346576696106,25.175058382185842,32.66826906102046,7.735300693047171,35.1216053924899,0.6013763235266346,21.404717558466913,42.920101068946174,0.0,21.29405160645456,32.81726988033889,18.533853558396416,32.178177373524214,0.0,23.423383301665034,0.5077495067805107
test std,5.260113108983533,10.54726735412668,6.050726517643601,15.809069385023305,3.1265268772908805,14.689871991917514,4.708307879166612,24.53606223518026,27.70284920068005,0.06502392606187381,4.847880972304136,12.763469364744267,0.0,17.11898310460017,3.7593456876262006,5.44028380763915,7.287549551115266,0.0,13.971195388851797,0.045018604228747684
