,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,18.102,49.846,0.0,4.454,33.562,13.553999999999998,33.519999999999996,0.0,7.142,0.54986,17.278,49.628,0.0,2.198,33.11,12.790000000000001,33.242,0.0,5.1259999999999994,0.52548
split 1,18.336000000000002,49.674,0.0,5.328,33.586,13.6,33.494,0.0,7.304,0.54554,17.606,49.398,0.0,3.414,33.148,13.232,33.138,0.0,6.556,0.5483
split 2,21.18,48.334,0.0,15.198000000000002,34.412,16.412,34.082,0.0,15.154,0.5522600000000001,20.112000000000002,46.966,0.0,13.366,33.098,15.717999999999998,32.792,0.0,14.362,0.5250600000000001
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.54896,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5335
split 4,18.744,49.465999999999994,0.0,6.76,33.766,13.806000000000001,33.495999999999995,0.0,7.9239999999999995,0.55094,18.432000000000002,48.296,0.0,6.994,33.092,13.162,33.166,0.0,6.32,0.52338
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.54898,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.52452
mean,18.282,49.552,0.0,5.287999999999999,33.666000000000004,13.266,33.544,0.0,6.254,0.5494199999999999,17.792,49.05,0.0,4.328,33.186,12.854,33.168,0.0,5.394,0.53004
std,2.3619999999999997,0.6539999999999999,0.0,7.674000000000001,0.51,3.22,0.348,0.0,9.338,0.0038399999999999997,1.6580000000000001,1.544,0.0,6.491999999999999,0.3,2.5200000000000005,0.24400000000000005,0.0,7.798,0.018639999999999997
test mean,3.4791517380428414,1.3301788739619544,0.0,11.546422447967975,0.7511337824806407,4.555227040198447,0.48521621521771585,0.0,13.217423825066236,0.005895329178463998,2.5543803114474173,2.3556394166392467,0.0,9.945714408831615,0.38241616394836037,3.733167238773675,0.3699879755354434,0.0,11.554967070485315,0.021232471089617164
test std,1.2990890035576566e-14,3.8129327571525433e-14,0.0,0.0,6.676660098984721e-15,1.116137684709448e-14,3.350855742699331e-14,0.0,0.0,0.05647079131370706,1.3530494968846464e-14,4.0533020845442986e-14,0.0,0.0,4.995562060278308e-15,1.201114517566319e-14,3.621759491133871e-14,0.0,0.0,0.03729126866245498
std testing,1.3003212292786863e-15,4.567107194326817e-15,0.0,0.0,7.875171815828889e-16,1.4255124287829441e-15,4.032576652343355e-15,0.0,0.0,0.0073412780050565694,3.843438685272643e-15,1.1693777119540445e-14,0.0,0.0,1.245024544872084e-15,3.609883110325407e-15,1.0819920996683343e-14,0.0,0.0,0.008614912698019162
