,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,34.16,41.92,39.47,21.08,35.91,35.33,37.29,35.51,33.18,0.5483,23.6,15.53,46.48,8.79,31.78,28.81,28.57,32.87,25.0,0.4745
split 1,22.92,50.86,11.25,6.65,35.37,41.28,34.58,52.54,36.73,0.542,19.41,49.88,1.72,6.61,33.63,31.22,33.65,20.0,40.0,0.4889
split 2,32.34,49.26,17.39,30.36,37.73,41.77,35.98,49.52,39.8,0.5579,32.59,43.22,16.33,38.21,35.44,34.86,36.42,33.33,34.81,0.538
split 3,31.11,48.52,15.41,29.4,36.89,40.82,35.15,47.17,40.13,0.5564,23.41,45.42,6.98,17.82,31.51,29.08,32.02,23.08,32.14,0.4856
split 4,40.87,52.67,33.29,36.65,43.0,43.74,41.72,45.11,44.38,0.6228,28.3,25.24,25.81,33.86,28.54,28.84,23.93,31.37,31.21,0.4394
mean,32.28,48.65,23.36,24.83,37.78,40.59,36.94,45.97,38.84,0.5655,25.46,35.86,19.46,21.06,32.18,30.56,30.92,28.13,32.63,0.4853
std,5.77,3.66,10.99,10.35,2.74,2.81,2.56,5.79,3.73,0.0292,4.54,13.18,15.82,12.87,2.31,2.33,4.32,5.51,4.89,0.0317
