,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5055,0.0,50.0,0.0,0.4918
split 1,0.0,50.0,0.0,0.524,0.0,50.0,0.0,0.4752
split 2,0.0,50.0,0.0,0.5009,0.0,50.0,0.0,0.5744
split 3,0.0,50.0,0.0,0.5221,0.0,50.0,0.0,0.4653
split 4,0.0,50.0,0.0,0.5085,0.0,50.0,0.0,0.6428
split 5,0.0,50.0,0.0,0.513,0.0,50.0,0.0,0.4149
mean,0.0,50.0,0.0,0.5123,0.0,50.0,0.0,0.5107
std,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0757
test mean,0.0,49.99999999999999,0.0,0.5154040000511605,0.0,50.0,0.0,0.46870577697827503
test std,0.0,1.5204531042579644e-14,0.0,0.09114666242680301,0.0,1.443119118362539e-14,0.0,0.05716908878145514
