,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,84.85,84.56,83.3,0.9136,40.74,60.33,80.49,0.8077
split 1,83.6,83.09,81.17,0.9092,81.24,76.9,68.4,0.8983
split 2,83.23,82.86,81.44,0.9095,70.79,73.56,79.06,0.8263
split 3,69.41,70.69,72.6,0.762,75.09,71.25,66.24,0.772
split 4,81.74,81.1,79.08,0.8925,75.54,75.04,74.06,0.8306
split 5,81.11,80.79,79.78,0.8874,78.51,77.33,74.63,0.8717
mean,80.66,80.52,79.56,0.879,70.32,72.4,73.81,0.8344
std,5.18,4.57,3.39,0.0532,13.61,5.77,5.16,0.0411
test mean,81.91193660815489,82.21437076447988,80.9279226757266,0.9108943122901528,70.54192853673555,76.24128108738878,85.71652871145074,0.9164929865453265
test std,11.676614524357737,8.282206674448926,8.233447493444867,0.06372923590663972,17.513395888492948,9.875394463819356,8.206143806736216,0.048562906154761325
