,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5681,0.0,50.0,0.0,0.4476
split 1,0.0,50.0,0.0,0.5815,0.0,50.0,0.0,0.451
split 2,0.0,50.0,0.0,0.5884,0.0,50.0,0.0,0.5564
split 3,0.0,50.0,0.0,0.5747,0.0,50.0,0.0,0.5539
split 4,0.0,50.0,0.0,0.5654,0.0,50.0,0.0,0.531
split 5,0.0,50.0,0.0,0.5819,0.0,50.0,0.0,0.4902
mean,0.0,50.0,0.0,0.5767,0.0,50.0,0.0,0.505
std,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.045
test mean,0.0,50.0,0.0,0.5548368355114244,0.0,50.0,0.0,0.46461568196587805
test std,0.0,1.4117052668876551e-14,0.0,0.08582478880978187,0.0,1.5888218580782548e-14,0.0,0.1041463172334398
