,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.95,50.05,0.4,0.41,33.47,77.79,33.38,100.0,100.0,0.5923,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5158
split 1,17.24,50.09,1.64,0.0,33.52,26.79,33.44,46.94,0.0,0.5772,16.58,49.73,0.0,0.0,32.88,11.08,33.25,0.0,0.0,0.5569
split 2,18.81,50.37,6.07,0.0,34.23,33.08,33.72,65.52,0.0,0.5789,19.25,48.68,9.08,0.0,32.7,20.44,33.0,28.33,0.0,0.5539
split 3,19.27,50.12,7.32,0.38,34.18,63.23,33.62,56.08,100.0,0.5861,17.53,49.35,3.24,0.0,32.87,18.91,33.1,23.62,0.0,0.5412
split 4,17.75,50.11,0.0,3.13,33.73,32.06,33.48,0.0,62.69,0.5827,17.09,49.09,0.0,2.19,32.79,20.62,32.84,0.0,29.03,0.5283
split 5,16.79,50.02,0.0,0.35,33.39,44.45,33.35,0.0,100.0,0.5901,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4559
mean,17.8,50.13,2.57,0.71,33.75,46.23,33.5,44.76,60.45,0.5846,17.3,49.47,2.05,0.36,32.99,15.55,33.14,8.66,4.84,0.5253
std,0.93,0.11,2.99,1.1,0.34,18.44,0.13,35.64,44.73,0.0055,0.93,0.49,3.36,0.82,0.25,4.48,0.18,12.32,10.82,0.0341
test mean,16.723909217855958,50.01030715316432,0.0,0.16142050040355116,33.360700602079916,12.701471082973981,33.342508487017184,0.0,4.761904761904762,0.5885531124605116,16.625275938189848,49.87582781456955,0.0,0.0,33.223684210526315,11.086529006882992,33.25958702064898,0.0,0.0,0.522548436123225
test std,0.25599647132949743,0.04609499025974658,0.0,0.7218944237287451,0.12239014655170989,7.112306011560028,0.04103253468208716,0.0,21.295885499998,0.04719462911500122,0.10950957413347041,0.32852872240041026,0.0,0.0,0.2901043104237502,0.06503813449028133,0.19511440347084366,0.0,0.0,0.0475439827195943
