,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6116,0.0,50.0,0.0,0.556
split 1,2.07,50.41,81.87,0.5873,0.0,48.38,0.0,0.4704
split 2,0.0,50.0,0.0,0.6198,0.0,50.0,0.0,0.4652
split 3,0.0,50.0,0.0,0.6196,0.0,50.0,0.0,0.4655
split 4,0.0,50.0,0.0,0.599,0.0,50.0,0.0,0.5381
split 5,0.0,50.0,0.0,0.6014,0.0,50.0,0.0,0.5272
mean,0.35,50.07,13.64,0.6064,0.0,49.73,0.0,0.5037
std,0.77,0.15,30.51,0.0118,0.0,0.6,0.0,0.0377
test mean,0.0,50.0,0.0,0.5897853411058173,0.0,50.00000000000001,0.0,0.47239021241845425
test std,0.0,1.6623791107849736e-14,0.0,0.06043740113251671,0.0,8.331852114593072e-15,0.0,0.058795845300707
