plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P1,0,700,353,2.402262980419031,0.010245918429546858,0.0010907331942302217,0.042403385247484764,3.190925887810476e-09,0.0034844951216214354,0.05856339702210873,0.06646492124954302,0.0514129995782688,0.042403385247484764,259.7654848134418,48.0,240.3462512078166,0.20779220779220778,4.363636363636363,0.5820192398660301,0.1728368414380395,0.5290170483662093,0.0026443868127718206,-2.8883812274325873e-06,-0.010745702596878126,2.9604506585411715e-09,0.00032297230091415073,-0.003262581869793349,0.0011049087660840035,-0.00985175268104578,-0.010745702596878126,0.9321545060210497,3.0,12.644471238121668,-0.029049897470950103,-0.1363636363636367,0.021308995775234707,-0.007509452873705885
P1,0,700,428,1.2433615933205335,0.011756856295279932,0.0009703810372681513,0.009463943953786455,2.1387486000371562e-11,0.0022542873510423465,0.05168564265383726,0.0324386622465324,0.02556205740422923,0.009463943953786455,259.20659837151095,37.0,182.8631811503469,0.27205882352941174,4.352941176470588,0.5313389114333946,0.24022589734712496,-0.6298843387322883,0.004155324678504895,-0.000123240538189503,-0.043685143890576435,-2.0908774326893306e-10,-0.0009072354696649382,-0.010140336238064818,-0.03292135023692662,-0.03570269485508536,-0.043685143890576435,0.37326806409021174,-8.0,-44.83859881934805,0.03521671826625386,-0.14705882352941213,-0.029371332657400773,0.059879603035379564
P1,0,700,538,1.6380263749324342,0.008648159484653457,0.0010673650303199367,0.04275455199901673,7.272395418235693e-11,0.002737241045820446,0.05810916007927217,0.05974509812582593,0.05474685479575521,0.04275455199901673,257.06815739589916,46.0,230.67274606447438,0.21904761904761907,4.380952380952381,0.5510486421931041,0.16503277713856163,-0.23521955712038767,0.0010466278678784198,-2.6256545137717628e-05,-0.010394535845346158,-1.5775127508694769e-10,-0.0004242817748868386,-0.0037168188126299045,-0.0056149143576330884,-0.006517897463559373,-0.010394535845346158,-1.7651729115215744,1.0,2.970966094779442,-0.017794486215538807,-0.11904761904761862,-0.009661601897691274,-0.015313517173183772
P1,0,700,560,1.2211314170429957,0.011273504884853949,0.0009657905136737777,0.006847751654873316,1.4499576437171811e-11,0.0022627242352183967,0.05111468671994995,0.030815986153688572,0.021266453347333715,0.006847751654873316,257.7210994667488,35.0,172.15091589098014,0.2916666666666667,4.375,0.5000738760007015,0.2444752575466222,-0.6521145150098262,0.0036719732680789118,-0.00012783106178387664,-0.046301336189489575,-2.159756528321328e-10,-0.000898798585488888,-0.010711292171952123,-0.034544026329770446,-0.03999829891198087,-0.046301336189489575,-1.1122308406719412,-10.0,-55.550864078714795,0.054824561403508804,-0.125,-0.06063636809009387,0.0641289632348768
P1,0,700,687,1.6053935640254255,0.008860928423895739,0.0010346488863950184,0.021561638544062647,7.43607311815554e-10,0.002532249866971206,0.05803979601861826,0.05710647577428811,0.04757851569469076,0.021561638544062647,247.8801527592844,46.0,229.5217139629108,0.21904761904761907,4.380952380952381,0.5668698000599207,0.1601590684115823,-0.2678523680273963,0.0012593968071207013,-5.897268906263596e-05,-0.03158744930030025,5.131320825462494e-10,-0.0006292729537360786,-0.0037861828732838193,-0.008253536709170908,-0.013686236564623824,-0.03158744930030025,-10.953177548136324,1.0,1.8199339932158694,-0.017794486215538807,-0.11904761904761862,0.006159555969125319,-0.020187225900163086
P1,0,700,709,1.5515633793435812,0.008670226854796955,0.001045579084800596,0.05771425561427844,1.4045376568685114e-10,0.0027481626814683966,0.05748287675458318,0.05279622037878717,0.04664718266100848,0.05771425561427844,265.37030514232805,44.0,219.9862323897615,0.23157894736842108,4.4,0.5407412178993227,0.18667120370445967,-0.3216825527092406,0.0010686952380219179,-4.804249065705826e-05,0.00456516776991555,-9.002146358245348e-11,-0.000413360139238888,-0.004343102137318894,-0.012563792104671845,-0.014617569598306103,0.00456516776991555,6.536974834907312,-1.0,-7.715547579933428,-0.005263157894736803,-0.09999999999999964,-0.019969026191472672,0.0063249093927142674
P1,0,700,717,1.6590048179228125,0.008870576710964941,0.0010684902319557158,0.03464260003862834,1.8890066011397597e-11,0.0029720007769055133,0.05681669906807313,0.05340489020375568,0.04502340983337894,0.03464260003862834,261.59633614039535,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,0.5274154094642324,0.17091568219291758,-0.21424111413000935,0.001269045094189904,-2.513134350193855e-05,-0.01850648780573455,-2.1158516325790703e-10,-0.00018952204380177137,-0.005009279823828948,-0.011955122279703335,-0.01624134242593564,-0.01850648780573455,2.7630058329746134,-3.0,-17.34021521408772,0.00877192982456143,-0.07894736842105221,-0.03329483462656302,-0.009430612118827814
P1,0,580,439,1.1337931705903017,0.010168964119456714,0.0009539126339040255,0.03911997612066089,6.295234795211655e-12,0.0022156461881982126,0.05167604402933126,0.03470709221224023,0.026583762343935505,0.03911997612066089,267.8558105883712,37.0,181.63620605048416,0.27205882352941174,4.352941176470588,0.4676394169784862,0.20873307581837636,-0.8245952448558971,0.0026718736364981233,-0.00018371126569541167,-0.07687040191034714,4.5054693018227734e-12,-0.0012393875636903975,-0.01050324644766503,-0.03599724764545232,-0.054072698810314915,-0.07687040191034714,-17.357152948618307,-10.0,-55.58035190967411,0.04824929971988792,-0.1232492997198884,-0.0745760234512941,0.036399658299840515
P1,0,580,442,1.5723268737288185,0.00907858897273654,0.0010698224620161248,0.07885449405650273,4.850028599152045e-12,0.0027926308592937984,0.05744057547496367,0.05229364121189358,0.05416487558635618,0.07885449405650273,275.96523751211976,44.0,219.9862323897622,0.23157894736842108,4.4,0.5394617242512679,0.1905590609685388,-0.3860615417173803,0.001581498489777948,-6.78014375833124e-05,-0.03713588397450529,3.060263105763163e-12,-0.0006624028925948117,-0.004738715002032615,-0.018410698645798966,-0.026491585567894237,-0.03713588397450529,-9.247726024869735,-3.0,-17.230325570396076,0.007769423558897259,-0.07619047619047592,-0.0027537161785123887,0.018225643450002965
P1,0,580,449,1.2605631643398874,0.007470585182632994,0.0009970812686725015,0.09990694081084403,2.2534315570009967e-12,0.0024176632090898076,0.05692266090816454,0.044371282998814175,0.05064678954576452,0.09990694081084403,286.7885867146327,42.0,209.17227338057143,0.2456140350877193,4.421052631578948,0.49072425647629164,0.20539524173592827,-0.6978252511063114,-2.650530032559731e-05,-0.0001405426309269357,-0.01608343722016399,4.636660636121154e-13,-0.0010373705427988026,-0.005256629568831751,-0.02633305685887837,-0.030009671608485895,-0.01608343722016399,1.5756231776431946,-5.0,-28.044284579586844,0.021804511278195493,-0.055137844611528486,-0.05149118395348867,0.03306182421739243
