,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5123,0.0,50.0,0.0,0.52
split 1,0.0,50.0,0.0,0.5071,0.0,50.0,0.0,0.546
split 2,0.0,50.0,0.0,0.5282,0.0,50.0,0.0,0.4613
split 3,0.0,50.0,0.0,0.4918,0.0,50.0,0.0,0.4645
split 4,0.0,50.0,0.0,0.4855,0.0,50.0,0.0,0.4857
split 5,0.0,50.0,0.0,0.4856,0.0,50.0,0.0,0.4891
mean,0.0,50.0,0.0,0.5017,0.0,50.0,0.0,0.4944
std,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.03
test mean,0.0,50.0,0.0,0.4865426973884654,0.0,49.99999999999999,0.0,0.5131287616457552
test std,0.0,1.334291761984158e-14,0.0,0.07135844305829842,0.0,1.6085595323533783e-14,0.0,0.0417330585524368
