,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,56.98,52.0,47.57,71.37,57.23,56.86,50.96,50.12,69.51,0.7623,45.52,48.24,27.83,60.49,46.99,47.41,39.96,40.02,62.25,0.6993
split 1,57.87,53.38,51.1,69.14,58.09,57.78,52.98,53.52,66.84,0.7667,53.47,49.47,41.54,69.38,54.25,53.24,48.96,46.21,64.54,0.7361
split 2,58.32,53.65,53.15,68.15,58.47,58.24,53.86,54.67,66.17,0.7701,51.21,45.44,37.68,70.51,52.37,50.9,44.9,43.32,64.48,0.7211
split 3,59.52,56.9,51.61,70.06,59.78,59.5,55.34,55.27,67.88,0.7798,49.49,35.98,48.66,63.82,50.39,50.19,45.39,43.45,61.72,0.7019
split 4,58.25,53.93,52.18,68.64,58.42,58.16,54.13,53.64,66.7,0.7723,49.63,44.73,40.24,63.91,50.3,49.51,48.61,41.3,58.63,0.7244
split 5,59.82,56.59,52.9,69.99,60.09,59.76,56.12,56.04,67.11,0.7803,49.59,49.91,35.58,63.28,50.04,50.51,43.52,41.99,66.01,0.6954
mean,58.46,54.41,51.42,69.56,58.68,58.38,53.9,53.88,67.37,0.7719,49.82,45.63,38.59,65.23,50.72,50.29,45.22,42.71,62.94,0.713
std,0.97,1.76,1.86,1.06,0.98,0.99,1.66,1.89,1.08,0.0065,2.38,4.72,6.31,3.54,2.23,1.73,3.06,1.95,2.41,0.015
