,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,60.42,60.8,61.62,58.84,60.49,68.38,19.75,0.7887,35.67,28.57,44.44,33.99,36.36,52.27,31.82,0.4906
split 1,59.12,56.05,61.5,59.83,59.26,66.67,20.37,0.777,32.72,22.07,43.3,32.8,33.71,47.73,33.14,0.4927
split 2,61.48,60.59,62.91,60.94,61.54,68.38,19.23,0.7908,28.13,27.38,31.53,25.48,28.41,36.36,35.8,0.4414
split 3,61.9,59.85,65.81,60.03,62.11,72.93,18.95,0.7914,34.08,35.56,33.15,33.53,34.09,34.09,32.95,0.475
split 4,59.96,57.27,60.93,61.67,60.04,67.33,19.98,0.7718,37.05,31.06,45.36,34.73,37.55,50.57,31.23,0.5349
mean,60.58,58.91,62.55,60.26,60.69,68.74,19.66,0.7839,33.53,28.93,39.56,32.11,34.02,44.21,32.99,0.4869
std,1.01,1.91,1.75,0.97,1.02,2.2,0.51,0.008,3.07,4.43,5.95,3.37,3.15,7.51,1.57,0.0302
testing,60.95,61.74,62.07,59.03,61.05,65.6,19.48,0.7879,31.22,36.19,45.99,11.48,35.64,62.38,32.18,0.4964
