,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train TPR,train FPR,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val TPR,val FPR,val Auc
split 0,47.21,47.42,44.34,49.87,47.39,40.74,26.31,0.6538,32.62,28.4,30.67,38.78,32.95,28.41,33.52,0.4875
split 1,44.34,45.07,40.32,47.64,44.63,36.18,27.68,0.637,37.6,37.91,33.14,41.75,37.88,31.82,31.06,0.5417
split 2,45.05,45.14,40.0,50.0,45.68,33.33,27.16,0.6501,34.39,39.34,24.83,39.0,35.23,20.45,32.39,0.5122
split 3,45.79,41.85,46.79,48.74,46.15,48.72,26.92,0.6444,31.21,27.59,28.74,37.32,31.82,28.41,34.09,0.5022
split 4,44.97,47.01,38.21,49.7,45.55,32.67,27.23,0.6415,37.55,37.43,37.66,37.56,37.55,33.33,31.23,0.519
mean,45.47,45.3,41.93,49.19,45.88,38.33,27.06,0.6454,34.67,34.13,31.01,38.88,35.09,28.48,32.46,0.5125
std,0.98,1.97,3.15,0.89,0.9,5.92,0.45,0.006,2.57,5.06,4.3,1.58,2.41,4.45,1.21,0.018
