,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5141,0.0,50.0,0.0,0.5241
split 1,0.0,50.0,0.0,0.5504,0.0,50.0,0.0,0.51
split 2,0.0,50.0,0.0,0.5596,0.0,50.0,0.0,0.4704
split 3,0.0,50.0,0.0,0.529,0.0,50.0,0.0,0.5066
split 4,0.0,50.0,0.0,0.524,0.0,50.0,0.0,0.4851
split 5,0.0,50.0,0.0,0.543,0.0,50.0,0.0,0.4255
mean,0.0,50.0,0.0,0.5367,0.0,50.0,0.0,0.4869
std,0.0,0.0,0.0,0.0157,0.0,0.0,0.0,0.0326
test mean,0.0,50.0,0.0,0.5196984896519635,0.0,50.0,0.0,0.5084004824502033
test std,0.0,1.7480841034847636e-14,0.0,0.08482030408929024,0.0,1.6473255640462455e-14,0.0,0.04964788431715904
