,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,83.1,82.59,80.74,0.9017,55.58,62.63,68.51,0.7538
split 1,81.52,81.1,79.75,0.8909999999999999,81.24,76.9,68.4,0.9032
split 2,67.43,51.69,50.86,0.7597,66.4,50.46,50.24,0.6978
split 3,0.0,50.0,0.0,0.7243,0.0,50.0,0.0,0.6771
split 4,81.69,81.05,79.0,0.8843,78.03,77.13,75.06,0.8340000000000001
split 5,66.67,50.0,50.0,0.7305,66.67,50.0,50.0,0.7008
mean,63.4,66.07,56.73,0.8153,57.98,61.19,52.03,0.7611
std,29.15,15.53,28.58,0.078,27.25,12.03,25.11,0.0819
testing,81.23,80.65,78.87,0.8863,77.06,78.95,84.66,0.8748
