,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5327,0.0,50.0,0.0,0.4774
split 1,0.0,50.0,0.0,0.5112,0.0,50.0,0.0,0.3916
split 2,0.0,50.0,0.0,0.5417,0.0,50.0,0.0,0.4967
split 3,0.0,50.0,0.0,0.5118,0.0,50.0,0.0,0.4169
split 4,0.0,50.0,0.0,0.5246,0.0,50.0,0.0,0.512
split 5,0.0,50.0,0.0,0.5249,0.0,50.0,0.0,0.4946
mean,0.0,50.0,0.0,0.5245,0.0,50.0,0.0,0.4648
std,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0446
test mean,0.0,50.00000000000001,0.0,0.5075526199675616,0.0,49.99999999999999,0.0,0.49540948516344696
test std,0.0,1.7096599804694812e-14,0.0,0.06053800473608495,0.0,1.7222418539888655e-14,0.0,0.07819006328516066
