,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5076,0.0,50.0,0.0,0.4705
split 1,0.0,50.0,0.0,0.4881,0.0,50.0,0.0,0.5362
split 2,0.0,50.0,0.0,0.4886,0.0,50.0,0.0,0.4865
split 3,0.0,50.0,0.0,0.5013,0.0,50.0,0.0,0.4891
split 4,0.0,50.0,0.0,0.4971,0.0,50.0,0.0,0.5191
split 5,0.0,50.0,0.0,0.4834,0.0,50.0,0.0,0.503
mean,0.0,50.0,0.0,0.4944,0.0,50.0,0.0,0.5007
std,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0218
test mean,0.0,50.0,0.0,0.498189905182382,0.0,50.0,0.0,0.5473605803699509
test std,0.0,1.5635339543114833e-14,0.0,0.062248101142594006,0.0,1.896630097780749e-14,0.0,0.08112782762321953
