,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,22.14,50.7,2.47,13.26,35.39,52.37,34.28,69.71,53.13,0.5742,16.6,49.81,0.0,0.0,33.16,11.07,33.22,0.0,0.0,0.5264
split 1,17.67,50.09,0.7,2.22,33.61,47.18,33.49,68.3,39.75,0.5772,21.82,50.79,11.22,3.46,35.41,50.55,34.24,63.68,53.72,0.4961
split 2,19.82,50.27,2.43,6.77,34.36,50.48,33.78,69.34,48.33,0.5758,17.59,48.98,0.0,3.78,32.74,20.37,32.85,0.0,28.26,0.5292
split 3,17.9,49.98,1.89,1.82,33.61,44.54,33.43,64.54,35.64,0.579,18.95,50.02,0.0,6.83,33.88,25.91,33.59,0.0,44.14,0.5285
split 4,18.74,50.13,2.13,3.95,33.91,47.54,33.61,68.84,40.17,0.5752,18.1,50.21,0.0,4.07,33.72,24.01,33.63,0.0,38.4,0.5294
split 5,17.93,50.04,1.4,2.36,33.64,46.33,33.48,68.86,36.64,0.5702,17.45,49.5,2.86,0.0,33.21,44.36,33.09,100.0,0.0,0.5707
mean,19.03,50.2,1.84,5.06,34.08,48.07,33.68,68.26,42.27,0.5753,18.42,49.88,2.35,3.02,33.69,29.38,33.44,27.28,27.42,0.5301
std,1.57,0.24,0.62,4.03,0.64,2.61,0.29,1.72,6.34,0.0027,1.68,0.57,4.1,2.4,0.86,13.72,0.45,39.98,20.8,0.0217
test mean,19.158347277236444,50.30246835126677,1.7596477151719525,5.412925765270605,34.225319596245185,19.590535012813937,33.83437620687122,5.921698576337752,19.01553025523286,0.5709968343004483,19.023037963428802,47.0570878154749,0.0,10.012026074811505,33.36798091018548,18.2445274808227,32.67040444145433,0.0,22.063178001013757,0.5503352642424124
test std,3.3450255936810063,1.0696090062715287,6.183973975016105,8.53929207673168,1.509436826520586,10.09615186164344,0.9186775541428733,18.252171598514014,27.94670875860909,0.05985570017230078,3.184980203840958,7.18157315894624,0.0,14.880581766101452,1.3828862407059557,11.283145711473443,1.8832177876424103,0.0,33.74411315495471,0.04273016912963041
