Label,Value,Area (ÂµmÂ²),Center_X,Center_Y,Center_Z
60,0,26.212,-47.5497,20.546,-9.61998
572,0,28.2742,-40.6852,15.8351,-8.270380000000001
316,0,24.4735,23.6796,87.4305,-7.8407100000000005
188,0,42.7628,-46.9349,26.8399,-8.00733
700,0,9.64847,-40.927,58.7501,-7.050669999999999
124,0,14.0378,-30.4083,78.6174,-7.3914100000000005
636,1,28.0515,4.15923,88.2576,-8.81407
380,0,20.0263,1.02136,61.2845,-1.44294
252,0,31.8357,8.287,22.2989,-1.7446
508,0,19.2227,-42.3175,63.6849,-6.12988
2,0,19.6681,5.819459999999999,25.1585,-1.29424
514,1,22.5737,-56.9436,51.9063,-13.6513
130,0,23.8403,42.7257,60.0869,-8.39162
642,1,6.2583400000000005,-40.5382,92.806,-7.8759
66,0,28.9539,-30.5632,53.2694,-3.3407400000000003
578,1,20.0872,-25.6893,-3.62949,-12.9352
194,0,21.046999999999997,-24.2238,23.4973,-4.12637
450,0,12.2129,-8.91046,-2.81002,-10.3216
34,1,13.3213,40.9801,78.9754,-11.5717
546,0,27.6779,-3.9554400000000003,41.9837,-1.0802100000000001
290,0,26.218000000000004,18.6238,31.6124,-0.604658
674,1,10.6107,-37.5756,5.66646,-10.2967
98,0,32.3468,9.92507,29.7681,-0.682121
354,0,20.7433,32.6629,77.7724,-7.629560000000001
226,0,10.0324,4.70339,-4.04584,-10.0031
18,0,26.1868,-32.5599,44.9034,-3.2678700000000003
530,0,12.4626,-34.9954,29.4663,-5.0532699999999995
146,0,22.4078,29.4123,26.2403,-2.96001
658,0,18.4957,13.921,68.089,-3.47254
402,0,25.1001,22.6272,6.3425400000000005,-7.56049
82,0,16.1791,25.6759,-0.918586,-11.0478
210,0,16.6985,-3.7256400000000003,74.6935,-3.8068199999999996
466,0,17.7285,2.9764,27.2887,-1.30175
50,0,37.6212,20.01,82.9724,-6.38736
306,0,12.7748,-17.4373,-9.80975,-14.5891
178,0,18.169,-11.0091,-13.2815,-14.1835
690,0,2.0813099999999998,-6.6934,15.3638,-3.9001900000000003
434,0,23.1452,33.3053,21.0631,-5.36338
114,0,34.8398,8.69974,52.7226,-0.557801
370,0,8.78207,-13.9824,9.076319999999999,-6.13206
242,0,27.101999999999997,5.81062,31.9009,-0.892632
498,0,17.3735,25.8992,13.2896,-5.31568
10,0,34.4551,3.39379,36.1476,-0.972433
266,0,15.7978,13.0444,13.8536,-3.89644
138,0,18.1158,29.1023,10.4747,-7.7268300000000005
74,0,12.6427,-42.1916,27.801,-6.5431099999999995
586,0,45.6914,7.048719999999999,-25.3123,-13.7686
330,0,16.4008,-17.666,33.4936,-2.50867
202,0,18.0566,-21.4681,46.0362,-1.27282
458,0,21.3268,-8.98554,27.9049,-2.6093
42,1,13.6802,-30.9568,96.7554,-15.9861
554,0,25.5333,-51.0631,23.319000000000003,-10.3346
170,0,19.3436,-16.0566,6.2964199999999995,-7.55749
682,0,9.906889999999999,-37.3312,62.343999999999994,-6.861110000000001
426,0,10.6017,-10.9291,54.6155,-1.0822200000000002
106,1,56.1797,-35.2263,93.3115,-10.4278
362,0,17.2182,-13.6528,-9.52161,-13.8015
234,0,18.4099,4.13847,43.3355,-0.710727
26,1,15.449000000000002,-57.3577,45.8526,-14.7106
538,0,28.4692,22.9353,17.0006,-3.7352300000000005
282,0,28.8541,-18.5477,76.6037,-5.41075
154,0,20.8448,-2.6183099999999997,-9.19946,-11.2496
666,1,9.578330000000001,51.6006,47.655,-10.442
90,0,21.1584,-38.5708,67.8766,-6.06538
602,0,28.8344,28.7605,53.5749,-1.74889
346,0,16.9055,44.8297,43.8473,-8.53947
218,0,24.7,11.9106,82.9084,-5.58399
