,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.44,50.69,82.09,0.5761,2.69,50.48,77.12,0.4689
split 1,1.72,50.38,88.58,0.5875,5.59,51.08,79.65,0.4617
split 2,4.06,50.79,80.68,0.5831,0.0,50.0,0.0,0.4857
split 3,3.65,50.75,83.64,0.5739,2.12,50.3,69.0,0.4863
split 4,3.72,50.74,81.54,0.5695,0.0,50.0,0.0,0.5161
split 5,0.0,50.0,0.0,0.5713,0.0,50.0,0.0,0.5973
mean,2.76,50.56,69.42,0.5769,1.73,50.31,37.63,0.5027
std,1.45,0.28,31.15,0.0064,2.04,0.39,37.76,0.0457
test mean,2.7692260077486615,50.51513273702919,23.357224649052124,0.5447997982339563,2.4104532163742687,50.5321223316913,20.930232558139537,0.5181543218454717
test std,4.797657553714902,1.3173372519752484,39.73257772459482,0.05671132234757763,4.412840643955623,1.101078924371255,37.15475653179176,0.04806495413932921
