,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5967,0.0,50.0,0.0,0.4718
split 1,0.0,50.0,0.0,0.5934,0.0,50.0,0.0,0.4403
split 2,0.0,50.0,0.0,0.5815,0.0,50.0,0.0,0.5209
split 3,0.0,50.0,0.0,0.5804,0.0,50.0,0.0,0.53
split 4,0.0,50.0,0.0,0.5883,0.0,50.0,0.0,0.4743
split 5,0.0,50.0,0.0,0.5727,0.0,50.0,0.0,0.4915
mean,0.0,50.0,0.0,0.5855,0.0,50.0,0.0,0.4881
std,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0305
test mean,0.0,50.0,0.0,0.5651146039878745,0.0,50.0,0.0,0.5129242110506097
test std,0.0,1.9561161980496004e-14,0.0,0.06885359672973898,0.0,1.4862067603866e-14,0.0,0.05884176822331885
