,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4868,0.0,50.0,0.0,0.4814
split 1,0.0,50.0,0.0,0.4981,0.0,50.0,0.0,0.483
split 2,0.0,50.0,0.0,0.501,0.0,50.0,0.0,0.4609
split 3,0.0,50.0,0.0,0.5151,0.0,50.0,0.0,0.4212
split 4,0.0,50.0,0.0,0.4951,0.0,50.0,0.0,0.4882
split 5,0.0,50.0,0.0,0.4713,0.0,50.0,0.0,0.4635
mean,0.0,50.0,0.0,0.4946,0.0,50.0,0.0,0.4664
std,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0226
test mean,0.0,50.0,0.0,0.4834995362901439,0.0,49.99999999999999,0.0,0.4714975929875781
test std,0.0,1.5888218580782548e-14,0.0,0.0729242378832906,0.0,1.8115356374411762e-14,0.0,0.0787814290067238
