plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p4 FM1,0,21614,21428,50.9394,48.3452,5.00479,7.674205809723901,150533,129331
p4 FM1,0,21614,21440,50.9394,57.9807,2.2473,10.280937642063584,150533,151252
p4 FM1,0,21614,21521,50.9394,43.4474,4.99008,7.6980886465407785,150533,107792
p4 FM1,0,21614,21612,50.9394,44.0041,2.9909,8.612892476978912,150533,129423
p4 FM1,0,21614,21627,50.9394,49.9615,6.33553,6.942461915631945,150533,107924
p4 FM1,0,21507,21395,53.6923,43.7507,6.10193,6.9219446227198285,129099,129191
p4 FM1,0,21507,21428,53.6923,48.3452,3.90943,8.326946006189782,129099,129331
p4 FM1,0,21507,21614,53.6923,50.9394,4.56358,7.925143515419776,129099,150533
p4 FM1,0,21537,21404,48.6963,46.0439,4.20886,7.280969362660444,151068,107763
p4 FM1,0,21537,21530,48.6963,37.9528,3.95588,7.736470865323544,151068,107672
p4 FM1,0,21537,21536,48.6963,35.1075,7.46253,5.726717427113025,151068,107776
p4 FM1,0,21537,21641,48.6963,44.5743,6.44944,6.756973400125236,151068,108158
p4 FM1,0,21537,21644,48.6963,46.5726,5.23371,7.583105040153406,151068,129803
p4 FM1,0,21537,21654,48.6963,61.0933,3.31044,9.599193906261087,151068,151323
p4 FM1,0,21537,21659,48.6963,73.9095,0.528141,11.927699953050459,151068,151151
p4 FM1,0,21398,21521,43.9169,43.4474,7.63124,5.445594488207875,86313,107792
p4 FM1,0,21398,21614,43.9169,50.9394,5.35401,7.171327457312209,86313,150533
p4 FM1,0,21591,21395,36.7413,43.7507,4.57964,7.681280962834259,86159,129191
p4 FM1,0,21627,21440,49.9615,57.9807,5.36449,8.98088455610025,107924,151252
p4 FM1,0,21627,21612,49.9615,44.0041,7.91243,6.300214606662221,107924,129423
p4 FM1,0,21627,21614,49.9615,50.9394,6.33553,6.942461915631945,107924,150533
p4 FM1,0,21627,21626,49.9615,38.823,2.62498,8.925714255453178,107924,129442
p4 FM1,0,21627,21632,49.9615,52.4702,9.42289,5.515347289155965,107924,129155
p4 FM1,0,21608,21428,44.1334,48.3452,3.70181,8.239313674961044,150767,129331
p4 FM1,0,21608,21500,44.1334,22.7371,1.60407,7.957928863441799,150767,107783
p4 FM1,0,21608,21505,44.1334,30.934,7.91649,4.5189471647276465,150767,107804
p4 FM1,0,21608,21520,44.1334,29.341,4.76615,6.993051338178485,150767,129375
p4 FM1,0,21608,21595,44.1334,43.9503,2.8571,9.43921960232413,150767,150385
p4 FM1,0,21608,21607,44.1334,32.4187,3.54971,7.213075669116466,150767,129134
p4 FM1,0,21608,21612,44.1334,44.0041,5.93949,6.3803244776735335,150767,129423
p4 FM1,0,21659,21440,73.9095,57.9807,3.86321,9.16947675170181,151151,151252
p4 FM1,0,21659,21530,73.9095,37.9528,7.02348,8.111559223725118,151151,107672
p4 FM1,0,21659,21537,73.9095,48.6963,0.528141,11.927699953050459,151151,151068
p4 FM1,0,21659,21641,73.9095,44.5743,6.21947,8.08571265752128,151151,108158
p4 FM1,0,21638,21436,58.7155,36.9128,5.04193,7.569999252972223,150998,107966
p4 FM1,0,21638,21438,58.7155,43.5212,3.84198,8.428757696125805,150998,129192
p4 FM1,0,21638,21444,58.7155,49.3354,5.78807,7.676549360878232,150998,129538
p4 FM1,0,21638,21692,58.7155,31.955,4.24481,7.511423088203722,150998,108089
p4 FM1,0,21599,21494,43.5397,36.6761,8.52315,5.143660512475527,129299,107858
p4 FM1,0,21599,21498,43.5397,38.701,4.73119,6.7312413515264815,129299,129477
p4 FM1,0,21599,21514,43.5397,39.6987,6.42634,6.59253984628838,129299,129459
p4 FM1,0,21599,21587,43.5397,36.1302,3.62571,7.711936033999497,129299,129236
p4 FM1,0,21599,21602,43.5397,28.5978,3.24842,6.7358309992160565,129299,129316
p4 FM1,0,21599,21604,43.5397,34.0284,2.54468,7.243991463447485,129299,107637
p4 FM1,0,21516,21510,42.1409,35.349,1.83196,8.540217766544359,151000,129321
p4 FM1,0,21516,21513,42.1409,28.264,1.77613,8.850800581303366,151000,129256
p4 FM1,0,21516,21514,42.1409,39.6987,3.52695,7.555498463529721,151000,129459
p4 FM1,0,21516,21604,42.1409,34.0284,6.63678,5.296691566440315,151000,107637
p4 FM1,0,21516,21618,42.1409,40.9509,4.01667,7.213646938962292,151000,129143
p4 FM1,0,21516,21620,42.1409,25.7556,8.51456,4.078754056081342,151000,86194
p4 FM1,0,21516,21621,42.1409,36.7598,3.71705,7.2567949350935885,151000,150757
p4 FM1,0,21632,21404,52.4702,46.0439,7.93049,5.822412111831314,129155,107763
p4 FM1,0,21632,21440,52.4702,57.9807,2.23462,9.583139477749457,129155,151252
p4 FM1,0,21632,21528,52.4702,58.4916,2.39936,9.054802996200406,129155,150777
p4 FM1,0,21632,21530,52.4702,37.9528,3.84924,8.544603984386868,129155,107672
p4 FM1,0,21632,21626,52.4702,38.823,5.60499,7.282129735867111,129155,129442
p4 FM1,0,21632,21627,52.4702,49.9615,9.42289,5.515347289155965,129155,107924
p4 FM1,0,21436,21438,36.9128,43.5212,5.74173,6.3151368955866625,107966,129192
p4 FM1,0,21436,21617,36.9128,33.8583,4.95121,6.8746630390150765,107966,129012
p4 FM1,0,21436,21638,36.9128,58.7155,5.04193,7.569999252972223,107966,150998
p4 FM1,0,21481,21494,51.3354,36.6761,4.93742,7.38896728194136,129401,107858
p4 FM1,0,21481,21580,51.3354,43.6279,5.08151,6.767487869217058,129401,129117
p4 FM1,0,21481,21587,51.3354,36.1302,5.14833,6.547633476065984,129401,129236
p4 FM1,0,21481,21589,51.3354,42.4874,3.74883,8.578339677495876,129401,129182
p4 FM1,0,21404,21528,46.0439,58.4916,6.43635,7.142114794652907,107763,150777
p4 FM1,0,21404,21530,46.0439,37.9528,4.72978,7.26691147943884,107763,107672
p4 FM1,0,21404,21536,46.0439,35.1075,5.65632,5.9745816330518045,107763,107776
p4 FM1,0,21404,21537,46.0439,48.6963,4.20886,7.280969362660444,107763,151068
p4 FM1,0,21404,21632,46.0439,52.4702,7.93049,5.822412111831314,107763,129155
p4 FM1,0,21568,21473,39.6406,54.3137,5.85566,7.673328634100069,64512,129125
p4 FM1,0,21654,21536,61.0933,35.1075,2.9035,8.656993317543915,151323,107776
p4 FM1,0,21654,21537,61.0933,48.6963,3.31044,9.599193906261087,151323,151068
p4 FM1,0,21654,21642,61.0933,44.6904,6.74429,7.513642102868625,151323,108293
p4 FM1,0,21654,21644,61.0933,46.5726,5.52395,7.733371612692612,151323,129803
p4 FM1,0,21654,21653,61.0933,67.9456,5.82209,8.461135650135857,151323,129403
p4 FM1,0,21654,21655,61.0933,46.8094,1.07409,10.77239049468594,151323,151658
p4 FM1,0,21654,21656,61.0933,64.3448,10.1684,7.077072364332583,151323,129958
p4 FM1,0,21514,21516,39.6987,42.1409,3.52695,7.555498463529721,129459,151000
p4 FM1,0,21514,21517,39.6987,45.3145,4.43179,7.235290545990538,129459,150988
p4 FM1,0,21514,21599,39.6987,43.5397,6.42634,6.59253984628838,129459,129299
p4 FM1,0,21514,21602,39.6987,28.5978,2.875,6.691402137437267,129459,129316
p4 FM1,0,21514,21604,39.6987,34.0284,5.51682,6.0383345255459275,129459,107637
p4 FM1,0,21514,21621,39.6987,36.7598,4.13049,6.700787902209706,129459,150757
p4 FM1,0,21444,21438,49.3354,43.5212,6.74316,5.97111882732206,129538,129192
p4 FM1,0,21444,21439,49.3354,50.4098,4.72607,8.397833133612503,129538,150908
p4 FM1,0,21444,21638,49.3354,58.7155,5.78807,7.676549360878232,129538,150998
p4 FM1,0,21444,21640,49.3354,58.7311,7.34996,6.378792818394403,129538,150799
p4 FM1,0,21444,21691,49.3354,24.5888,2.20931,7.90380106024943,129538,108073
p4 FM1,0,21444,21692,49.3354,31.955,2.90854,8.274464269062987,129538,108089
p4 FM1,0,21517,21399,45.3145,28.8223,5.44332,5.850472216847117,150988,129395
p4 FM1,0,21517,21514,45.3145,39.6987,4.43179,7.235290545990538,150988,129459
p4 FM1,0,21517,21602,45.3145,28.5978,4.35926,6.793278716466749,150988,129316
p4 FM1,0,21517,21603,45.3145,40.3709,4.04245,7.324524630179085,150988,150635
p4 FM1,0,21517,21621,45.3145,36.7598,3.68764,7.464179454441054,150988,150757
p4 FM1,0,21517,21624,45.3145,17.5778,3.363,6.139230876917727,150988,86290
p4 FM1,0,21517,21625,45.3145,32.5153,3.9204,7.206418144550033,150988,128993
p4 FM1,0,21472,21470,37.8132,43.7858,3.86619,7.638722200446878,150802,107549
p4 FM1,0,21472,21474,37.8132,38.9199,5.09847,6.29230576374034,150802,107581
p4 FM1,0,21472,21580,37.8132,43.6279,2.31002,8.565379957369084,150802,129117
p4 FM1,0,21472,21581,37.8132,36.2095,1.47696,8.70878881338272,150802,107430
p4 FM1,0,21438,21436,43.5212,36.9128,5.74173,6.3151368955866625,129192,107966
p4 FM1,0,21438,21439,43.5212,50.4098,3.43906,8.580847727934579,129192,150908
p4 FM1,0,21438,21444,43.5212,49.3354,6.74316,5.97111882732206,129192,129538
p4 FM1,0,21438,21617,43.5212,33.8583,2.08892,7.232640259960398,129192,129012
p4 FM1,0,21438,21618,43.5212,40.9509,5.74048,6.629855536887659,129192,129143
p4 FM1,0,21438,21638,43.5212,58.7155,3.84198,8.428757696125805,129192,150998
p4 FM1,0,21498,21510,38.701,35.349,4.10852,6.360912875523452,129477,129321
p4 FM1,0,21498,21587,38.701,36.1302,3.68992,7.007230829650179,129477,129236
p4 FM1,0,21498,21599,38.701,43.5397,4.73119,6.7312413515264815,129477,129299
p4 FM1,0,21498,21604,38.701,34.0284,6.04458,5.7598196690521535,129477,107637
p4 FM1,0,21403,21523,53.8408,27.0379,1.97283,8.707097547403503,129496,129101
p4 FM1,0,21403,21527,53.8408,49.2235,9.54191,5.654543009828468,129496,129352
p4 FM1,0,21403,21528,53.8408,58.4916,8.54793,6.172119862737604,129496,150777
p4 FM1,0,21403,21625,53.8408,32.5153,4.0661,8.127639179983325,129496,128993
p4 FM1,0,21403,21640,53.8408,58.7311,0.240593,10.686916916023998,129496,150799
p4 FM1,0,21403,21653,53.8408,67.9456,8.06168,8.172786423246363,129496,129403
p4 FM1,0,21470,21465,43.7858,54.1675,6.75234,6.404420896255961,107549,150411
p4 FM1,0,21470,21472,43.7858,37.8132,3.86619,7.638722200446878,107549,150802
p4 FM1,0,21470,21474,43.7858,38.9199,6.2268,5.651419929681392,107549,107581
p4 FM1,0,21470,21576,43.7858,51.1576,4.77765,8.039977795249195,107549,171809
p4 FM1,0,21653,21403,67.9456,53.8408,8.06168,8.172786423246363,129403,129496
p4 FM1,0,21653,21528,67.9456,58.4916,3.4177,9.753660469792871,129403,150777
p4 FM1,0,21653,21536,67.9456,35.1075,5.41121,7.342777467007968,129403,107776
p4 FM1,0,21653,21640,67.9456,58.7311,5.57296,8.379869133226368,129403,150799
p4 FM1,0,21653,21642,67.9456,44.6904,7.68385,6.892861040235755,129403,108293
p4 FM1,0,21653,21654,67.9456,61.0933,5.82209,8.461135650135857,129403,151323
p4 FM1,0,21576,21465,51.1576,54.1675,3.11665,9.176343981613812,171809,150411
p4 FM1,0,21576,21470,51.1576,43.7858,4.77765,8.039977795249195,171809,107549
p4 FM1,0,21576,21473,51.1576,54.3137,6.20654,7.191704394064037,171809,129125
p4 FM1,0,21576,21474,51.1576,38.9199,3.01135,8.00176101383315,171809,107581
p4 FM1,0,21576,21477,51.1576,45.0968,2.01581,9.04180128541321,171809,107596
p4 FM1,0,21576,21482,51.1576,40.4706,4.25917,7.499706700805045,171809,129128
p4 FM1,0,21576,21483,51.1576,27.3642,4.23974,7.614526603729213,171809,107619
p4 FM1,0,21576,21485,51.1576,37.3873,2.84179,8.158073004631667,171809,129226
p4 FM1,0,21612,21428,44.0041,48.3452,7.49122,5.892242733458969,129423,129331
p4 FM1,0,21612,21520,44.0041,29.341,2.37973,8.133932176383086,129423,129375
p4 FM1,0,21612,21608,44.0041,44.1334,5.93949,6.3803244776735335,129423,150767
p4 FM1,0,21612,21614,44.0041,50.9394,2.9909,8.612892476978912,129423,150533
p4 FM1,0,21612,21626,44.0041,38.823,2.26324,8.416537144217928,129423,129442
p4 FM1,0,21612,21627,44.0041,49.9615,7.91243,6.300214606662221,129423,107924
p4 FM1,0,21422,21482,41.8017,40.4706,3.54655,7.494756064182475,150924,129128
p4 FM1,0,21422,21499,41.8017,40.3493,6.65931,6.198837332347089,150924,107727
p4 FM1,0,21422,21580,41.8017,43.6279,1.89679,9.487937799274405,150924,129117
p4 FM1,0,21422,21581,41.8017,36.2095,3.21617,7.721990351101198,150924,107430
p4 FM1,0,21422,21589,41.8017,42.4874,6.14934,6.04372001489149,150924,129182
p4 FM1,0,21422,21590,41.8017,44.5239,3.44537,7.409543116117213,150924,128893
p4 FM1,0,21422,21603,41.8017,40.3709,2.80641,8.073545487578546,150924,150635
p4 FM1,0,21428,21395,48.3452,43.7507,3.91351,7.702013899623909,129331,129191
p4 FM1,0,21428,21595,48.3452,43.9503,4.41824,7.701372118817522,129331,150385
p4 FM1,0,21428,21608,48.3452,44.1334,3.70181,8.239313674961044,129331,150767
p4 FM1,0,21428,21612,48.3452,44.0041,7.49122,5.892242733458969,129331,129423
p4 FM1,0,21428,21614,48.3452,50.9394,5.00479,7.674205809723901,129331,150533
p4 FM1,0,21617,21436,33.8583,36.9128,4.95121,6.8746630390150765,129012,107966
p4 FM1,0,21617,21438,33.8583,43.5212,2.08892,7.232640259960398,129012,129192
p4 FM1,0,21617,21513,33.8583,28.264,3.13848,6.6314652860435,129012,129256
p4 FM1,0,21617,21618,33.8583,40.9509,7.56945,5.115656854207487,129012,129143
p4 FM1,0,21440,21521,57.9807,43.4474,4.5821,6.9546206632712915,151252,107792
p4 FM1,0,21440,21530,57.9807,37.9528,7.75514,5.950633030190992,151252,107672
p4 FM1,0,21440,21614,57.9807,50.9394,2.2473,10.280937642063584,151252,150533
p4 FM1,0,21440,21627,57.9807,49.9615,5.36449,8.98088455610025,151252,107924
p4 FM1,0,21440,21632,57.9807,52.4702,2.23462,9.583139477749457,151252,129155
p4 FM1,0,21440,21659,57.9807,73.9095,3.86321,9.16947675170181,151252,151151
p4 FM1,0,21439,21438,50.4098,43.5212,3.43906,8.580847727934579,150908,129192
p4 FM1,0,21439,21444,50.4098,49.3354,4.72607,8.397833133612503,150908,129538
p4 FM1,0,21439,21527,50.4098,49.2235,7.22485,6.405185141742588,150908,129352
p4 FM1,0,21439,21618,50.4098,40.9509,2.40813,8.389164824343355,150908,129143
p4 FM1,0,21439,21620,50.4098,25.7556,6.42864,5.2363706992534444,150908,86194
p4 FM1,0,21439,21621,50.4098,36.7598,3.01466,8.986316378806167,150908,150757
p4 FM1,0,21439,21640,50.4098,58.7311,3.16078,8.744831680484193,150908,150799
p4 FM1,1,26070,22009,50.2072,54.6413,7.1326,7.6264247064345945,136251,114128
p4 FM1,1,26070,22014,50.2072,55.7728,4.94082,8.246513935597271,136251,158245
p4 FM1,1,26070,22045,50.2072,60.3744,0.980337,10.340938830401235,136251,162326
p4 FM1,1,26070,22067,50.2072,34.5588,4.18255,6.492681079685035,136251,114247
p4 FM1,1,26070,26069,50.2072,65.4227,9.48649,6.527999082605631,136251,114275
p4 FM1,1,21874,21728,45.5443,60.3591,4.84297,6.909777437985975,152977,131234
p4 FM1,1,21874,21857,45.5443,28.2969,2.83542,7.639189792581477,152977,109275
p4 FM1,1,21874,21865,45.5443,35.732,3.78907,7.138177683904765,152977,131067
p4 FM1,1,21874,21883,45.5443,26.4044,6.15304,5.290576284347479,152977,87407
p4 FM1,1,21874,21893,45.5443,51.768,3.60912,8.170499793084204,152977,152779
p4 FM1,1,21874,21902,45.5443,34.5123,3.13128,7.99205422724971,152977,131234
p4 FM1,1,21955,21757,56.4977,31.5323,4.77515,6.776985244930077,131737,131885
p4 FM1,1,21955,21929,56.4977,64.8041,6.42157,8.084445164017133,131737,154176
p4 FM1,1,21955,21937,56.4977,38.79,6.17046,6.74634310200719,131737,109612
p4 FM1,1,21955,22033,56.4977,54.2721,2.31714,10.395636837154319,131737,175422
p4 FM1,1,21955,22039,56.4977,41.5084,7.0972,6.377688885481953,131737,109951
p4 FM1,1,21955,22042,56.4977,50.517,6.17306,8.302203794776426,131737,175801
p4 FM1,1,21817,21705,41.9388,39.129,3.60385,7.9343549477166695,130723,108972
p4 FM1,1,21817,21708,41.9388,48.9066,4.3729,8.338261131187723,130723,152623
p4 FM1,1,21817,21822,41.9388,38.0239,3.41766,8.207774954454832,130723,130879
p4 FM1,1,21817,21835,41.9388,39.7163,8.52326,5.426700061703805,130723,108933
p4 FM1,1,21817,21843,41.9388,70.5992,2.46861,9.135412740290176,130723,131047
p4 FM1,1,21821,21705,79.6656,39.129,4.40083,7.943864085074974,130608,108972
p4 FM1,1,21821,21822,79.6656,38.0239,5.27404,7.6038808418388575,130608,130879
p4 FM1,1,21821,21842,79.6656,84.2112,7.46944,11.31750049721598,130608,152937
p4 FM1,1,21876,21721,48.5406,28.5855,5.01965,6.0618142177074334,131114,109043
p4 FM1,1,21876,21729,48.5406,28.724,2.80363,7.190213368628223,131114,131135
p4 FM1,1,21876,21861,48.5406,48.9997,3.45316,9.001716724742003,131114,174389
p4 FM1,1,21876,21872,48.5406,46.056,8.17917,5.891858209427649,131114,131418
