,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,26.31,50.31,3.73,24.89,36.66,52.43,34.71,73.74,48.85,0.6005,21.18,46.81,0.0,16.72,31.66,19.66,32.64,0.0,26.33,0.5237
split 1,18.49,50.27,1.4,3.8,34.05,62.97,33.63,100.0,55.26,0.5933,18.89,50.31,0.0,6.35,33.97,24.69,33.78,0.0,40.29,0.5183
split 2,19.94,49.68,3.25,6.89,34.03,48.67,33.43,67.85,44.74,0.5937,17.52,49.84,2.72,0.0,33.42,34.84,33.31,71.2,0.0,0.5421
split 3,20.2,49.92,2.75,7.93,34.23,53.24,33.62,82.09,44.02,0.5912,20.9,47.08,3.12,12.5,32.35,34.73,32.17,38.65,33.36,0.5486
split 4,20.07,49.95,6.91,3.36,34.33,48.82,33.56,67.33,45.55,0.5956,17.22,49.16,2.51,0.0,32.52,18.1,33.02,21.27,0.0,0.539
split 5,23.89,49.93,8.71,13.01,35.27,44.9,34.07,56.79,43.83,0.596,22.3,46.83,9.75,10.31,32.18,33.74,32.38,44.27,24.56,0.533
mean,21.48,50.01,4.46,9.98,34.76,51.84,33.84,74.63,47.04,0.595,19.67,48.34,3.02,7.65,32.68,27.62,32.89,29.23,20.76,0.5341
std,2.71,0.22,2.53,7.39,0.95,5.68,0.44,13.65,4.04,0.0029,1.91,1.47,3.26,6.21,0.78,7.1,0.55,25.33,15.53,0.0105
