,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,3.47,50.69,82.28,0.5812,0.0,49.56,0.0,0.5407
split 1,2.13,50.43,82.48,0.5841,6.12,50.56,60.43,0.4722
split 2,1.76,50.38,87.66,0.5932,0.0,50.0,0.0,0.5175
split 3,0.0,50.0,0.0,0.6091,0.0,50.0,0.0,0.5007
split 4,0.0,50.0,0.0,0.5782,0.0,50.0,0.0,0.4929
split 5,0.0,50.0,0.0,0.6015,0.0,50.0,0.0,0.4715
mean,1.23,50.25,42.07,0.5912,1.02,50.02,10.07,0.4992
std,1.33,0.27,42.11,0.0112,2.28,0.29,22.52,0.0245
test mean,0.0,50.00000000000001,0.0,0.5818012665707597,0.0,49.8046875,0.0,0.46361098555836955
test std,0.0,1.2089121657132305e-14,0.0,0.07740149855895172,0.0,0.5167483029423035,0.0,0.07410507271782825
