,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5279,0.0,50.0,0.0,0.4994
split 1,0.0,50.0,0.0,0.4575,0.0,50.0,0.0,0.4728
split 2,0.0,50.0,0.0,0.4753,0.0,50.0,0.0,0.4317
split 3,0.0,50.0,0.0,0.5034,0.0,50.0,0.0,0.4151
split 4,0.0,50.0,0.0,0.4759,0.0,50.0,0.0,0.4863
split 5,0.0,50.0,0.0,0.4678,0.0,50.0,0.0,0.4878
mean,0.0,50.0,0.0,0.4846,0.0,50.0,0.0,0.4655
std,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0311
