,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,59.18,60.16,62.95,54.44,59.2,59.18,61.0,62.03,54.53,0.758,51.63,52.83,53.84,48.23,51.56,51.81,54.76,54.35,46.31,0.7015
split 1,59.12,60.74,62.91,53.71,59.19,59.09,60.86,61.48,54.95,0.7561,58.64,59.44,61.48,54.99,58.54,58.89,58.89,64.79,52.99,0.7699
split 2,62.77,64.42,67.55,56.33,62.89,62.73,63.44,66.05,58.71,0.8031,53.27,56.63,55.1,48.09,53.33,53.55,59.52,51.24,49.9,0.6862
split 3,57.72,60.49,61.29,51.37,57.83,57.71,58.37,61.29,53.46,0.7496,56.8,60.15,62.46,47.79,56.9,56.81,57.62,63.59,49.22,0.7591
split 4,59.41,62.47,62.18,53.57,59.49,59.37,61.35,61.49,55.27,0.76,55.33,51.73,64.59,49.68,55.71,55.33,54.15,60.04,51.79,0.7428
split 5,63.02,64.43,66.91,57.73,63.13,63.01,64.22,64.9,59.92,0.7959999999999999,54.78,55.79,61.04,47.51,54.93,54.8,57.8,58.04,48.55,0.7182
mean,60.2,62.12,63.97,54.52,60.29,60.18,61.54,62.87,56.14,0.7705,55.08,56.1,59.75,49.38,55.16,55.2,57.12,58.68,49.79,0.7296
std,1.98,1.79,2.38,2.04,2.0,1.98,1.9,1.88,2.34,0.0209,2.27,3.1,3.92,2.6,2.28,2.26,2.0,4.79,2.17,0.0302
test mean,55.946743680464124,59.472788035560065,59.421816100124445,48.945626905707826,56.95053217728636,57.07352035833942,58.68599561572071,59.00020695093043,53.53435850836709,0.7459182506345075,52.55969439408266,54.875056899003916,60.23864241791636,42.565383865327696,55.1765755215321,57.70505512120772,60.477396384331534,56.220616481472,56.41715249781964,0.7235224922150092
test std,8.195859994973512,9.674598673367717,12.309710236731139,13.325598415828297,7.666461831662443,8.261838150063552,9.673854408005658,9.649466864288483,15.011663257769952,0.06897853119527728,9.093362879246934,19.010403593195765,12.341207323441141,10.428111110590738,8.390628756140568,7.645620442697322,8.081361976920089,10.65215685228722,13.451395311257832,0.07901196367015693
