,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,68.12,66.28,64.6,0.7326,68.93,64.29,61.0,0.7035
split 1,69.91,71.48,74.0,0.7945,65.67,65.15,64.71,0.6869
split 2,82.15,83.51,89.54,0.9103,63.32,58.8,57.06,0.6715
split 3,69.35,70.74,72.81,0.7786,84.38,83.33,79.41,0.8858
split 4,69.49,71.28,74.1,0.7895,77.55,77.08,76.0,0.8568
split 5,71.28,72.92,75.86,0.8111,75.36,73.44,70.27,0.814
mean,71.72,72.7,75.15,0.8028,72.53,70.35,68.08,0.7697
std,4.76,5.25,7.38,0.0538,7.28,8.37,7.95,0.0855
