,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,0.0,50.0,0.0,33.33,11.11,0.0,33.33,0.0,0.5072,16.67,0.0,50.0,0.0,33.33,11.11,0.0,33.33,0.0,0.4654
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5522,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.57
split 2,30.57,46.74,0.79,44.18,38.09,43.07,36.31,52.19,40.72,0.5727,27.31,41.81,0.0,40.11,34.18,22.87,33.3,0.0,35.32,0.53
split 3,32.3,7.63,45.46,43.81,37.84,37.94,37.09,35.86,40.88,0.5376,34.18,31.51,38.39,32.64,34.42,34.55,36.33,35.06,32.26,0.4876
split 4,30.77,46.38,0.0,45.92,38.48,25.84,36.72,0.0,40.81,0.578,22.0,36.82,0.0,29.18,27.81,18.39,28.98,0.0,26.19,0.4724
split 5,30.19,45.73,0.0,44.83,37.77,25.37,36.15,0.0,39.95,0.5711,28.23,40.6,0.0,44.08,35.33,23.53,34.65,0.0,35.94,0.5251
mean,26.19,32.75,16.04,29.79,36.47,25.74,29.93,20.23,27.06,0.5531,24.17,33.46,14.73,24.34,33.07,20.26,27.77,11.4,21.62,0.5084
std,6.77,20.62,22.45,21.08,2.23,12.09,13.44,21.08,19.14,0.0248,6.37,15.96,21.1,17.87,2.45,8.09,12.61,16.13,15.61,0.0368
