,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,32.2,35.37,42.87,18.37,35.01,35.96,35.69,34.04,38.16,0.5126,31.75,34.76,48.34,12.14,37.23,38.59,40.3,35.9,39.58,0.5094
split 1,30.35,42.33,43.87,4.86,36.39,38.71,37.39,35.34,43.4,0.5289,29.18,38.72,39.67,9.15,32.95,30.42,32.4,35.42,23.44,0.4944
split 2,28.95,37.77,45.4,3.68,35.34,33.06,36.86,34.79,27.54,0.5255,27.39,31.81,44.67,5.69,33.67,36.67,33.91,33.25,42.86,0.492
split 3,32.57,37.9,44.94,14.88,36.23,36.31,37.17,35.68,36.06,0.5229,31.29,45.19,44.31,4.38,37.33,33.98,42.07,34.86,25.0,0.5098
split 4,40.38,43.75,47.34,30.06,41.29,40.82,44.11,41.5,36.84,0.59,27.68,36.88,27.71,18.44,29.62,30.3,29.62,28.23,33.05,0.4746
mean,32.89,39.42,44.88,14.37,36.85,36.97,38.25,36.27,36.4,0.536,29.46,37.47,40.94,9.96,34.16,33.99,35.66,33.53,32.79,0.496
std,3.97,3.12,1.51,9.66,2.28,2.63,2.99,2.67,5.12,0.0276,1.8,4.49,7.16,5.03,2.89,3.31,4.75,2.8,7.69,0.013
