,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5583,0.0,50.0,0.0,0.5233
split 1,0.0,50.0,0.0,0.5231,0.0,50.0,0.0,0.5477
split 2,0.0,50.0,0.0,0.5489,0.0,50.0,0.0,0.5264
split 3,0.0,50.0,0.0,0.5291,0.0,50.0,0.0,0.5558
split 4,0.0,50.0,0.0,0.5346,0.0,50.0,0.0,0.4209
split 5,0.0,50.0,0.0,0.512,0.0,50.0,0.0,0.5455
mean,0.0,50.0,0.0,0.5343,0.0,50.0,0.0,0.5199
std,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0458
test mean,0.0,50.0,0.0,0.5184326110953601,0.0,50.0,0.0,0.5152481332680674
test std,0.0,1.3040774653664003e-14,0.0,0.060888300093542624,0.0,1.7222418539888655e-14,0.0,0.10808779945049511
