,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,74.56,74.93,75.67,0.8362,85.88,84.42,78.49,0.947
split 1,72.9,74.81,78.87,0.8322,84.93,83.33,77.5,0.877
split 2,80.21,80.14,79.93,0.8884,62.71,69.01,78.72,0.7947
split 3,73.02,74.73,78.3,0.8295,86.49,87.5,94.12,0.9497
split 4,73.65,75.27,78.79,0.8303,83.72,85.42,94.74,0.9457
split 5,75.4,76.25,78.21,0.8434,70.91,75.0,84.78,0.8821
mean,74.96,76.02,78.29,0.8433,79.11,80.78,84.73,0.8994
std,2.5,1.91,1.3,0.0207,9.05,6.56,7.25,0.0559
