,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,17.14,50.16,0.84,0.42,33.54,52.82,33.47,100.0,25.0,0.5922,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5265
split 1,18.91,50.45,0.0,6.28,34.34,35.05,33.76,0.0,71.38,0.5901,16.72,50.16,0.0,0.0,32.84,11.21,33.64,0.0,0.0,0.5222
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5934,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5269
split 3,17.25,50.2,0.0,1.55,33.6,28.01,33.51,0.0,50.53,0.5857,17.26,50.22,0.0,1.55,33.6,26.34,33.53,0.0,45.49,0.5565
split 4,16.81,50.09,0.0,0.35,33.39,19.2,33.41,0.0,24.19,0.5825,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5541
split 5,21.87,50.91,0.0,14.71,35.22,26.56,34.53,0.0,45.15,0.5857,19.14,48.06,0.0,9.37,31.83,18.2,32.84,0.0,21.77,0.5511
mean,18.11,50.3,0.14,3.89,33.9,28.79,33.67,16.67,36.04,0.5883,17.19,49.74,0.0,1.82,33.05,14.85,33.34,0.0,11.21,0.5396
std,1.84,0.3,0.31,5.29,0.67,13.08,0.41,37.27,22.74,0.0039,0.9,0.76,0.0,3.42,0.59,5.75,0.25,0.0,17.27,0.0145
test mean,17.046521800011877,50.1675328937911,0.0,0.9720325062445326,33.475300092336106,13.219098324077901,33.49585030484677,0.0,6.1614446673869425,0.5913364170592876,16.91359048374754,49.97193495713704,0.0,0.7688364941055865,33.39829749103943,13.857857795733551,33.33181514544241,0.0,8.241758241758241,0.5237511965438602
test std,1.1150708191870975,0.48746143166841854,0.0,2.9544062546871843,0.5806317027994895,6.130319458182446,0.4155388197277664,0.0,18.103335971526686,0.03968850411869725,0.6532990127747828,0.07425312394980922,0.0,2.034150162274159,0.1718790054231019,7.267208642002125,0.004016747602887283,0.0,21.80564267360926,0.062180538477402285
